mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_20	94373	28057	297.2990156082778	55.712383122565576	bin_153	214203	56281	262.74608665611595	5133	0.22881983413517648	2010	0.0994312152641344	0.4345393205966354	0.2120388692809814	0.4689291902060373	2.049338039153612
vMAG_20	94373	28057	297.2990156082778	99.97739598163882	bin_151	222372	67121	301.841059126149	6544	0.2708363781999683	3607	0.17187720362407094	0.6346163863451452	0.33122530205493045	0.5189132670654696	1.9159659072177413
vMAG_14	12513	2312	184.7678414448973	129.9487806960377	bin_55	2355636	452384	192.0432528624966	58988	0.02134682432639314	659	0.022357116363780644	1.0473275097944375	0.6766641303929658	0.033040197284873035	1.5477804463880958
vMAG_65	17047	2197	128.87898163899806	35.14881317427219	bin_80	1765960	205965	116.63061450995492	8832	0.005684197068656079	72	0.0023916833103354604	0.4207600970634413	0.30136866998391826	0.007936071491648704	1.3961640308725323
vMAG_119	16239	14353	883.8598435864277	615.7709284493214	bin_27	3219356	2688546	835.119197752594	177843	0.03442782800350779	2290	0.043803336948170624	1.2723235675427325	0.7373449563923747	0.05940684420286572	1.7255472577826536
vMAG_37	174657	72403	414.54393468340805	72.78017335180743	bin_35	2959046	1145808	387.2220979329149	184976	0.04245982060588188	6148	0.011895868262057234	0.28016765243726255	0.18795459696211964	0.06329118018036413	1.4906134617911342
vMAG_37	174657	72403	414.54393468340805	316.40671329653696	bin_116	720102	367694	510.6137741597718	62725	0.24557254298738496	26728	0.21251346344926106	0.8653795773095767	0.6196595730641862	0.3429519573116452	1.39654031814649
vMAG_32	13560	5797	427.5073746312684	281.03003519682466	bin_43	2613696	1006945	385.2571224809618	144510	0.042465317944085805	1579	0.04455201665710686	1.0491388929612777	0.7294609724203406	0.061075257404496826	1.4382385523385173
vMAG_115	19558	541	27.661315062889866	16.27136180169992	bin_66	2143659	115096	53.691375354009196	10330	0.004561577605866604	100	0.0023851728465121977	0.5228833207714472	0.30305354806831036	0.007870466660811254	1.7253826068176759
vMAG_96	43865	23372	532.8165963752422	326.261802708269	bin_37	2828169	894470	316.27176452326574	85631	0.021520685409723454	4200	0.03385523238007275	1.573148426061575	1.0315868797205523	0.032818595355966367	1.5249790948172266
