	vMAG_20	vMAG_73	vMAG_14	vMAG_65	vMAG_119	vMAG_37	vMAG_32	vMAG_29	vMAG_115	vMAG_96	vMAG_93	vMAG_147	vMAG_60	vMAG_87	vMAG_99	vMAG_76	vMAG_21	vMAG_53	vMAG_148	vMAG_2	vMAG_104	vMAG_48	vMAG_39	vMAG_91	vMAG_38	vMAG_1	vMAG_46	vMAG_61	vMAG_23	vMAG_90	vMAG_139	vMAG_100	vMAG_57	vMAG_59	vMAG_12	vMAG_81	vMAG_24	vMAG_95	vMAG_69	vMAG_7	vMAG_94	vMAG_71	vMAG_33	vMAG_132	vMAG_68	vMAG_56	vMAG_16	vMAG_125	vMAG_85	vMAG_13	vMAG_121	vMAG_51	vMAG_129	vMAG_28	vMAG_142	vMAG_118	vMAG_6	vMAG_126	vMAG_67	vMAG_146	vMAG_92	vMAG_11	vMAG_135	vMAG_127	vMAG_10	vMAG_122	vMAG_26	vMAG_138	vMAG_55	vMAG_3	vMAG_47	vMAG_42	vMAG_5	vMAG_43	vMAG_103	vMAG_40	vMAG_72	vMAG_117	vMAG_22	vMAG_136	vMAG_52	vMAG_102	vMAG_111	vMAG_44	vMAG_86	vMAG_131	vMAG_8	vMAG_140	vMAG_50	vMAG_116	vMAG_15	vMAG_19	vMAG_58	vMAG_25	vMAG_4	vMAG_18	vMAG_70	vMAG_9	vMAG_113	vMAG_128	vMAG_114	vMAG_123	vMAG_80	vMAG_101	vMAG_66	vMAG_120	vMAG_63	vMAG_107	vMAG_98	vMAG_108	vMAG_30	vMAG_79	vMAG_97	vMAG_27	vMAG_133	vMAG_62	vMAG_88	vMAG_130	vMAG_64	vMAG_106	vMAG_74	vMAG_17	vMAG_89	vMAG_105	vMAG_78	vMAG_45	vMAG_41	vMAG_134	vMAG_75	vMAG_109	vMAG_31	vMAG_110	vMAG_112	vMAG_36	vMAG_144	vMAG_49	vMAG_145	vMAG_137	vMAG_83	vMAG_143	vMAG_77	vMAG_54	vMAG_84	vMAG_35	vMAG_34	vMAG_82	vMAG_124	vMAG_141
bin_1	0.001203391438745024	0.0021848456680085286	0.0005350791771506036	0.003841558251807565	0.005545344703888932	0.0005075368384523927	0.0021732734667794175	0.0008925539241886498	0.0001324574569874372	0.00486922874558204	0.0011580535273006327	0.0013772143377786634	0.05876184989550513	0.00035557572088726206	0.02031240130170569	0.0013154411610198714	0.0013843065566968807	0.004525028231176286	0.0030279558277957943	0.0012773220167973354	0.0	0.0928019154173952	0.0008968431388261209	0.001043535873098853	0.0008142245567004443	0.0031884694279692683	0.0010747713226331181	0.001590441123663888	0.0004005843109915277	0.0007438362377909799	0.0006139395272932046	0.0003301942629554266	0.0003469530817065027	0.0004644432843902012	0.0018475346549344607	0.0010957455755674762	0.001271112210381146	0.001728120195105143	0.0010415547766275326	0.0011075537339764528	0.0015261133597796652	0.0002192669922410594	0.0020995060269551205	0.0	0.001612568949386089	0.0018828716180569656	0.0012487018853548288	0.0015215970653821838	0.0006416596822741141	0.002304516907541105	0.0006391261281469999	0.0019531560800794276	0.0013472778319385112	0.0011841345206260777	0.0015172910653817868	0.0006766707495392763	0.0012908360721497832	0.006719080628737955	0.007885668594456066	0.005448441153016366	0.00041863109994282565	0.034595013837852705	0.000545999739665154	0.0017059150860663647	0.0019527784596088346	0.004819630112061481	0.002997926814040823	0.0012842851005055273	0.0018954749560973106	0.0025817495794206915	0.004572654064007928	0.0008175767921140556	0.0015415735490490435	0.0015617639848292235	0.0008090802767497896	0.0003278943560724844	0.0022907050263650253	0.0014191431078328645	0.0019517795379960982	0.0016227287911930028	0.012184355623402875	0.0002883098138625642	0.0036206169738375485	0.0005031087945330776	0.00019003662903069364	0.0003397181356309586	0.0009223198614873228	0.003634115170187478	0.0006971717456429578	0.0023019110848163473	0.0007582578596830102	0.0039348668727255415	0.005982187413643608	0.0008046773509900396	0.004381011853762204	0.013595470647028185	0.00048544242362162215	0.001149238452141729	0.000610121767231136	8.73298269371866e-05	0.0	0.0011056770763298537	0.0010182255248410365	0.0025097465823208623	0.0005334612263830147	0.0006960219327459613	0.0004711430654196731	0.0004854727030446079	0.002052218242806627	0.0002706984410251842	0.0010723285845728188	0.0004190474078410146	0.0023834143123113807	0.0009009106815754041	0.004588922188959371	0.0005002248919707382	0.000342017474282525	0.001212367452398653	0.0016615444495772518	0.002059827116268789	0.0006135196654258514	0.018277277982419547	0.0	0.17812336222435418	0.002612719253260585	0.0022980792148952285	0.000831973751559018	0.00023377653621099522	0.0010496396251979303	0.0006136166744780063	0.0015002075782316517	0.0007112392921272694	0.0024330826195094976	0.0006325231451447469	0.000813952989385179	0.0068593530572194136	0.0013968252362296081	0.0010249265765597357	0.0014695598414956146	0.0002595626097116759	0.00020332275373418458	0.0009061983330329381	0.0007250349522018273	0.001138194721232005	0.0009701853407257497	0.0010581164928362408	0.0034494607768149536	0.001055602434896711
bin_10	0.00032656749586517785	0.0006324344620766224	0.0	0.0005751689677260844	0.0009504345846960957	0.00026500258191783317	0.0010484745414236672	0.0002039702762235117	0.0	0.0010525241245054277	0.000791479773568578	0.00015736348319293344	0.004408890680523386	0.00021443003871662652	0.0023735380006789136	0.00031382393260404533	0.0006935315199900426	0.0012899874238257532	0.0008378161765338555	0.0	0.0	0.0035905757794002964	0.0	0.00028318707109863383	0.00029461100906716983	0.000377569450607959	0.00046666162734351264	0.0	0.0	0.00029904710192313826	0.00020505400892395845	0.0	3.674285626442532e-05	5.499804833865087e-05	0.0006372557497352962	0.0001399319318610733	0.0004990694478691438	0.0005210716854046246	0.0026380615869548408	0.0006327574024642656	0.0008835101681483452	0.0	0.0011994704539567166	0.0	0.00033341491183024383	0.00035545030749210843	0.00016113789324069688	0.0007226096371291856	0.000251519483980079	0.00032183442690542953	9.569177174395574e-05	0.0	0.00014999562024802518	0.00013530176648847908	0.002612490766515844	0.00011752314804311021	0.0003928570942838842	0.0	0.0015012977115738558	0.0003216198209439017	0.0	0.010064528389675925	0.0	0.0	0.001315689815785317	0.001657556510380438	0.0006101664559804671	0.00019228679798781757	0.0008817943165217763	0.0006165422254157385	0.0021817901451285974	0.0005071267696694862	0.0005148810627608855	0.00014741565046546176	0.00018611898493194062	0.00023728414063415286	0.0002368131963242117	0.0006161865488856949	0.0012159140750426596	0.00041446039975223784	0.0039620751682964694	0.002503660529136333	0.0008614017218809413	3.7663435907726604e-05	0.00016502636549898256	0.0	0.00027483083063159383	0.00047815727516204245	0.00030270932477300457	0.0	0.0002856977832398915	0.0001761344593105338	0.0	0.0004764379778348393	0.0010171338328975007	0.0020906818635826304	0.00021077725709488013	0.00028513998412679536	9.461162667084371e-05	0.0	0.00040620315314450603	0.0004138627484900193	0.0016579112124320088	0.00027439054155199954	0.0005603875135278053	0.00011623464629961842	0.0020456853005875017	0.0	0.00029702178956105886	0.0	0.0001501938708880295	0.00020216532594122843	0.0009950667735569613	0.00047898611896053656	0.0019924925901503086	0.0	0.0003712567217033108	0.00011963757827964924	0.000577149032851881	5.1998204223796056e-05	0.00010245688814329661	0.006137399734760131	0.0010466298005079664	0.02030396400223058	0.0008726405993697026	0.00042460309328572557	0.0003089551296460913	0.0	0.001519165132476921	0.0005328600602693402	0.0006513844341282578	0.00024316330711931765	0.1685313190757571	0.0	0.00117805099127822	0.003884745720318903	0.0003192085335669943	0.0	0.0006978970503837324	0.0	0.0	0.0003934678753365711	0.0	0.0001830369726645619	0.0004756057319050647	0.00021368844813240547	0.0	0.0
bin_100	0.0016221945099595147	0.0	0.0	0.02857099844773087	0.0	0.0013856593327975242	0.0	0.0	0.0	0.009092727699564427	0.0	0.0	0.0025918066079427577	0.0	0.012410879390639578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012572660750505841	0.02194378440001504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038443086036648783	0.0	0.0	0.0	0.0	0.0044806619471614295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007327661332353611	0.0	0.0	0.0	0.0	0.0	0.0	0.02920155694788193	0.0	0.0	0.0	0.0	0.004881826103230424	0.0023113230754636914	0.0	0.04705392567565251	0.0	0.0	0.010293972817050922	0.004550578075789939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01034339950680898	0.002703196014518423	0.0	0.0	0.0	0.0017728141590906445	0.012217968392686775	0.0	0.001180339242466519	0.0	0.0	0.0	0.016446606278401586	0.0	0.0	0.0	0.0	0.0	0.013088528441509574	0.00655746171196441	0.0	0.0	0.010042379783609272	0.0	0.007931067465507778	0.0	0.0	0.0	0.005942888533836876	0.0	0.0	0.0	0.006627603975084117	0.0	0.018421571771869323	0.010836908199597229	0.0	0.0	0.0	0.07546315444214909	0.0066173354305788384	0.0	0.004831566972549001	0.0	0.0	0.0	0.0	0.00792819765042362	0.0	0.0	0.0	0.0	0.0	0.0	0.02727658838698187	0.0	0.0	0.0	0.0
bin_101	0.00020131010270366204	0.0038985951794339568	0.0	0.0	0.0	0.0005158701146227879	0.0	0.0	0.0	0.007334494465869755	0.0005740021372839283	0.0	0.0016081821607385667	0.0	0.021562208139692684	0.0	0.002850148964306025	0.0	0.0011918435711334016	0.0	0.0	0.0	0.0	0.0	0.0018161076421833058	0.004654997563568502	0.0	0.0016372797266151087	0.0	0.0	0.0	0.0	0.0	0.0	0.0004621547821687176	0.0034503999241987343	0.002533568860602403	0.0012848430518398143	0.009292648196468996	0.004680703105706722	0.0	0.0	0.0	0.0	0.0	0.0	0.0005843073835011612	0.0038181200020641847	0.0	0.0014428540913754833	0.001179769612198274	0.003267349579012429	0.0	0.001112076894879849	0.0	0.001448925401466382	0.0025831875451822308	0.0	0.0005970734209863424	0.0	0.0	0.00181868727373584	0.0	0.0	0.0	0.0012772354703343214	0.0	0.0	0.0	0.0013820467887797553	0.00403484489811262	0.0	0.0	0.0	0.0005736583163686729	0.0	0.0	0.0	0.0009085347678129024	0.0031936378657220097	0.0002823574282165362	0.0	0.0	0.0	0.0005086463749155184	0.0	0.00048404977261178614	0.001965043294064058	0.0	0.0	0.0001677297833181592	0.0	0.0	0.0	0.0029700217060125147	0.03487301338267683	0.0003712344904465168	0.0013182931602870795	0.0	0.0	0.0	0.002040980892676271	0.0	0.002899645842640809	0.0	0.0	0.0	0.0	0.0004068819375870753	0.0	0.0	0.0	0.0024536060314398664	0.0004921123811690406	0.0	0.0	0.0	0.0	0.0	0.0012821562421533777	0.0	0.002631898709974908	0.0	0.0022860689532542234	0.0	0.0013087170860527225	0.0002930047547826666	0.001564298265688868	0.0	0.0	0.005736301245716094	0.0007494810559799448	0.0	0.0	0.0	0.0015964817275382311	0.0029516058773399684	0.0	0.0	0.0	0.0	0.0016170022919712742	0.0	0.050774300885710784	0.0	0.0019758998056199862	0.0	0.0
bin_102	0.0	0.0	0.0	0.0	0.017621077416611047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035845684001119065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020393299720838005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010544117534779561	0.0057416563040312745	0.0	0.00813656880061188	0.0	0.0	0.0	0.005016995257301297	0.0	0.0	0.0029134315537369467	0.0	0.0026936217586579583	0.0	0.0	0.006713001201111329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012469861061946896	0.0	0.0	0.0	0.0	0.001293993727315065	0.0	0.0	0.0	0.0	0.005763078470431222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003026767416137339	0.0	0.0	0.0	0.004962548130789563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013081388083289062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004452555194171665	0.0	0.020626625998878132	0.012134081455449296	0.0	0.0	0.0	0.0	0.007409427638748345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_103	0.0002589732722159454	0.0	0.0	0.0	0.005024732662056233	0.00033181785173230636	0.001662914321024152	0.0	0.0	0.0014515974695189502	0.0029536761395464943	0.007487506261786247	0.0024825949074131575	0.0	0.0297197964899251	0.0019909393740692124	0.009166360675347665	0.0	0.0	0.006283047854125121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004212522696473989	0.0	0.0	0.0	0.0	0.0005827535096320042	0.00029076224106988966	0.0029726708843982675	0.0	0.0009312237465661594	0.0	0.0	0.0	0.0	0.007549901206388352	0.005073063176963317	0.0	0.005288067662307494	0.0	0.0015033522218006433	0.0	0.0003068599888566544	0.00394430711998545	0.0030354045110361568	0.0	0.002378978746233112	0.0	0.0	0.0	0.00083077863745875	0.0	0.0	0.0	0.0	0.0030840592911242993	0.0	0.0	0.0023185848161677586	0.0032861723748624783	0.0	0.003049730417713717	0.0	0.003555839219581521	0.0034603892936468103	0.0	0.0	0.0031174127950275277	0.0011069650951093279	0.0	0.0	0.0	0.0011687750320649028	0.0	0.002542650284131496	0.009927215169265086	0.006831054083228627	0.0005973541986521722	0.001308685598422817	0.0	0.0	0.00758372806543472	0.0	0.0	0.0004315484444207678	0.005587098269751479	0.0	0.0	0.005235847118423274	0.00975261362018805	0.0	0.001130602948301459	0.0	0.0	0.0	0.0	0.0	0.0012434063368749685	0.0	0.0	0.0	0.0	0.0010468580102768199	0.0	0.0	0.0	0.0	0.005697655345854026	0.0	0.0	0.0	0.0	0.0	0.002474124694164095	0.003249998351885812	0.0031741673600321394	0.0	0.004411334175863675	0.0	0.0033671707641906154	0.000753865793140023	0.0	0.0	0.0	0.0	0.0017354916919896028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006933918849714816	0.0	0.0014515126075808765	0.0032328256154161815	0.0	0.0	0.0
bin_104	0.0017922221513950397	0.0	0.012750374957490216	0.0	0.008693404057413834	0.0	0.0	0.0	0.0	0.00502288347658424	0.002555111073840903	0.0	0.00286346254186434	0.0	0.05484682095922405	0.003444569412279023	0.0	0.0	0.0017684560788680467	0.0	0.0	0.010947387139772223	0.0034469081147529084	0.0	0.00808421510377464	0.0	0.0	0.0072881811559878384	0.0	0.003282377132832639	0.0	0.0	0.0	0.002012217418329532	0.0020572341547984755	0.0	0.006444525383721012	0.005719345794490599	0.0	0.0	0.0	0.0	0.004388510889262118	0.0	0.009149005919962788	0.0	0.0026009838102263507	0.008497982903591538	0.0	0.0	0.0	0.0	0.004115925139894092	0.002475147568714173	0.0	0.0	0.00143734898221254	0.0	0.0	0.0	0.0	0.006255766687749462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025535805906407114	0.0	0.0	0.0	0.0	0.008529688946967352	0.0012568848524346947	0.0	0.0	0.0020669921221842177	0.0	0.011564466382127549	0.002154697437439621	0.017494373470446876	0.0	0.011427525862662567	0.0	0.0	0.0	0.0	0.003427600313503439	0.00674928729692353	0.0	0.0013040545529661122	0.0	0.0	0.0	0.0	0.0	0.002151245533046819	0.00410058738372565	0.0	0.0	0.0	0.007244771243493335	0.0	0.0	0.0	0.0	0.0021905873045160134	0.0	0.0	0.006791597744372316	0.0	0.0	0.0	0.0	0.007322265352208607	0.0	0.020352398427166265	0.0	0.0	0.0013042803240694342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005022589833452798	0.007457579991388574	0.0	0.0	0.025153897639310405
bin_105	9.040015320702189e-05	0.001750700023395177	0.0	0.0	0.0017539902808790411	7.721873992827293e-05	0.0005804757691959155	0.0	0.0	0.0010134222154787962	0.0018043265746879391	0.0	0.0014443379816816446	0.0	0.006916219919741245	0.0	0.0	0.0005493742887434476	0.0	0.0	0.0	0.0011043781306705359	0.0	0.0007839161869353104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002075348556893359	0.0	0.0	0.0	0.0	0.0007006375937581026	0.0	0.0	0.0	0.0	0.0	0.0	0.0015743316290366637	0.0005715206349371791	0.00010711603467177639	0.00016198172516424493	0.0002648931977564697	0.0	0.0	0.0	0.0	0.00032532663914766337	0.0010150036107073098	0.0	0.0001340606556951107	0.000197845648421292	0.0	0.0009651888385372358	0.0013125161712820093	0.0	0.0	0.0005735543355696918	0.0011260386045930312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.440163582419514e-05	0.0	0.0	0.0	0.0	0.0	0.0002535904003535261	0.0	0.0005961313405099128	0.00010425962226709131	0.00022841233302755003	0.0	0.0004347340050622662	0.0	0.0	0.0	0.0002259618057767701	0.0	0.0020543488916214413	0.0	0.00059276247307743	0.0	0.0005001187873044387	0.0	0.0	0.0	0.0	0.0004582606210830343	0.0	0.0	0.0	0.0	0.0	0.0	0.00018271407644745302	0.0	0.0008315309460338312	0.0	0.0	0.0004419751821222866	0.0	0.0005010329464564972	0.0	0.00033117978802955954	0.0	0.0005757640534147733	0.0	0.000812541347133306	0.0	0.0010265802900126311	0.0	0.0005876914446661857	0.0	0.0	0.0	0.0003687647400320142	0.0	0.0002019368170093782	0.0	0.0	0.0	0.0	0.0	0.0	0.0011039503069477828	0.0	0.0	0.00024204325063190117	0.0	0.00025334074243348856	0.00037616228169615396	0.0002957653271425909	0.0	0.0
bin_106	0.001313756870844	0.0	0.0	0.0	0.025490186699367767	0.0005610977777126408	0.0	0.0	0.0	0.0	0.0	0.0	0.007346537676970873	0.0	0.010051123938938656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001508019250681451	0.005629358073310997	0.004724045786177686	0.0	0.015161037936603722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020764322137219633	0.0007783417479688492	0.0011770146224108474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009741305809845852	0.0	0.0	0.0035066961263505335	0.0	0.0	0.0	0.008335283983772259	0.008182181673032697	0.0	0.0	0.015783751139927048	0.0	0.0	0.0	0.0	0.00046796431508181044	0.0	0.0	0.0	0.0	0.002084179399210815	0.0018426745919422152	0.0	0.021658471162289705	0.0	0.0	0.0	0.0031589259856238784	0.0128239422384221	0.0	0.0	0.0	0.0070857589638112185	0.0	0.0	0.004666149463452575	0.0	0.00363403417887316	0.0019118284277215214	0.0	0.0	0.0	0.0	0.0	0.0015769326351160419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004066480733149204	0.0	0.0	0.0	0.007281353543937449	0.0	0.0	0.0	0.004183698557603193	0.0	0.0016102372815422245	0.0	0.007459483538642724	0.0	0.0	0.0	0.0	0.0	0.0	0.007487061079973733	0.0029346839735425482	0.0	0.0	0.0	0.0	0.0	0.0	0.004010840273416533	0.0	0.0	0.0	0.008442979793180087	0.001840860492097391	0.0	0.0	0.0	0.0
bin_107	0.0	0.02871739301659864	0.0	0.0	0.0	0.0006333240626987131	0.0	0.0	0.0	0.0	0.0	0.0	0.0023692020857070664	0.0	0.00567246824042582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034042725400298068	0.0	0.0	0.0	0.017112614809992443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008608118566924177	0.0	0.0	0.0006642618382484426	0.002172571533026999	0.0	0.003405477907771848	0.0	0.0	0.0026682278032573513	0.0	0.0	0.0	0.001622668408754444	0.0	0.0012178735908321232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025450693758923954	0.0	0.0	0.0	0.002231268442326652	0.0021128086618615455	0.0	0.01075314208531443	0.0	0.0016730866373458316	0.0	0.0010399347539371353	0.0	0.00488928364830172	0.000855104960414553	0.0	0.0	0.0017827764771547944	0.0036186701858631075	0.0	0.0	0.0	0.0	0.016849129983872158	0.0	0.00283596439380532	0.0	0.0	0.000539481261164247	0.00429609616484996	0.0	0.0	0.0	0.476785566384415	0.0	0.01017836277595053	0.0	0.0	0.0	0.0014985639666670527	0.0	0.0	0.0	0.0	0.0018124714170012146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003029186883174373	0.0	0.008419691911071621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.615164710963146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030851659156717133	0.0	0.0	0.0
