mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_19	15835	1096	69.2137669718977	62.95080429926658	bin_192	158273	9323	58.904550997327405	1545	0.1334926457089608	392	0.15640879314195164	1.1716659918700867	1.0686916924657104	0.1463553934634615	1.0963554785073621
vMAG_6	29070	5769	198.45201238390092	194.96586772914142	bin_35	2414183	581806	240.9949867097896	75230	0.025881638314852982	1510	0.021516009536693942	0.8313233217677071	0.8090038319507565	0.02659568309437081	1.027588855497917
vMAG_50	28299	4169	147.31969327538079	80.17666953056917	bin_58	1825732	436166	238.89924698696194	34476	0.02075351288260169	609	0.011787159922648071	0.5679597468306009	0.33560871598287145	0.035121733618055546	1.6923271648868263
vMAG_50	28299	4169	147.31969327538079	30.543493154502542	bin_56	1835300	198769	108.30327466899145	8104	0.00482345710908732	232	0.004466937038428098	0.926086194487447	0.28201818687249275	0.015839180756267	3.2837818183199405
vMAG_50	28299	4169	147.31969327538079	31.33341108091209	bin_75	1305701	253038	193.79475086562698	6396	0.007528831315640697	238	0.006441130988513421	0.8555286628792381	0.16168348699309193	0.03983790248653299	5.291379341143177
vMAG_51	22224	8212	369.5104391648668	56.69940976746912	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	294	0.0025146818767348466	0.15068154678434392	0.1773412767596182	0.014179901727804953	0.8496699106806878
vMAG_51	22224	8212	369.5104391648668	18.706948120559538	bin_46	2059579	287675	139.6766038107788	51828	0.024518942928980957	97	0.00211919563558075	0.08643095429191192	0.13393043366018562	0.015823107397364734	0.6453421521146453
vMAG_51	22224	8212	369.5104391648668	29.699690830579062	bin_17	3184345	265319	83.31980360168261	45079	0.008908368695553186	154	0.002176097641539611	0.2442756598776451	0.3564541627169569	0.0061048456411702656	0.6852933292060125
vMAG_51	22224	8212	369.5104391648668	187.2623363408589	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	971	0.006766273291598159	0.25618568277307996	0.3759793897801267	0.017996394152230224	0.6813822505613878
vMAG_51	22224	8212	369.5104391648668	23.91403677267405	bin_7	3776319	344736	91.2888979982888	61131	0.008588260773297766	124	0.0014775112048820936	0.17203846551514887	0.2619599677183343	0.005640217540684497	0.6567357104736278
vMAG_76	23955	3022	126.15320392402421	123.92915135729314	bin_60	1783199	246143	138.0345098892496	39246	0.024787939641089086	1003	0.023480370525944927	0.9472497862235915	0.8978128111348841	0.026152857516328447	1.0550637888829146
vMAG_35	12543	822	65.53456110978235	7.7099483658567465	bin_68	1550312	101527	65.48810820015584	766	0.0006391777005266911	2	0.0001028512240665848	0.1609117839715528	0.11773050982465852	0.0008736157196615038	1.3667806604354822
vMAG_101	10738	657	61.184578133730675	18.077261721329517	bin_5	4144424	257510	62.13408666680822	56148	0.006551494619556691	13	0.0002921162875773894	0.04458773219555136	0.29093952596854245	0.0010040446948723432	0.15325429587856124
vMAG_101	10738	657	61.184578133730675	8.343351563690545	bin_141	320041	3633	11.351670567208576	103	0.0020407402631634902	6	0.0017459115257972492	0.8555285340873282	0.7349888736017303	0.002375425790109728	1.1640020207311532
vMAG_101	10738	657	61.184578133730675	2.781117187896849	bin_121	495880	5753	11.601597160603372	130	0.0010671205159684552	2	0.0003756038225832039	0.351978822412882	0.23971847577512417	0.0015668538746072766	1.4683007693702648
vMAG_101	10738	657	61.184578133730675	13.905585939484244	bin_26	2593316	140041	54.000746534552675	22386	0.0066751425808814	10	0.00035910475920126805	0.05379731666403613	0.25750729076655776	0.0013945421045449664	0.2089157029453037
vMAG_101	10738	657	61.184578133730675	4.1716757818452725	bin_41	2256566	72940	32.32345076545512	11474	0.004549583434475509	3	0.00012380831551740064	0.027213110233173177	0.1290603473037491	0.0009593056124822942	0.2108557027909273
vMAG_103	17882	1635	91.4327256459009	87.5814251896773	bin_46	2059579	287675	139.6766038107788	51828	0.024518942928980957	614	0.016671467326102272	0.6799423357846677	0.6270300308011832	0.026587988624405152	1.0843855993880804
vMAG_5	17585	5055	287.4609041796986	75.31116113672438	bin_138	330930	78160	236.18287855437706	2085	0.038969563260084106	377	0.06478326590847391	1.662406773104136	0.31886799584155834	0.20316640977874725	5.213463862112289
vMAG_5	17585	5055	287.4609041796986	47.34415169603097	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	237	0.002561910320284486	0.15351150909175	0.14808041817910353	0.01730080419671594	1.0366766313833442
vMAG_5	17585	5055	287.4609041796986	117.26167529776448	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	587	0.005169496696801165	0.19572828110677495	0.2354342789080607	0.02195728133038733	0.8313499716972339
vMAG_5	17585	5055	287.4609041796986	21.9740788462591	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	110	0.0014266904127656183	0.3127038096692383	0.16633798947164222	0.008577056974761887	1.8799301991235677
vMAG_25	18425	4871	264.36906377204883	252.6467482255636	bin_20	2900191	1428423	492.5272163109257	227694	0.05424527900416885	1638	0.030653481028136486	0.5650903007758649	0.5129599743094626	0.05975803681252449	1.1016264992928135
vMAG_82	19717	977	49.551148754881574	45.37027057868844	bin_216	126854	6402	50.467466536333106	1033	0.13297106016327673	293	0.1171446928041915	0.8809788585602624	0.8990003598858082	0.13030550156739795	0.9799538441476987
vMAG_97	10947	3423	312.68840778295424	266.0256761599595	bin_69	1473642	522127	354.31061275397957	40344	0.037279658389165006	553	0.03427977971499148	0.9195304140703872	0.7508261581333949	0.04565608076337318	1.2246915003020173
vMAG_45	28259	12816	453.5192328107859	19.1363972534501	bin_18	3074640	409803	133.28487237530248	57636	0.012222556715856744	143	0.0016458300030596233	0.13465513323611183	0.1435751628254254	0.011463194404040523	0.9378720566024394
vMAG_45	28259	12816	453.5192328107859	97.68930066446555	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	730	0.004910480836620507	0.2942395436823979	0.3055471895852125	0.016071104575651966	0.9629921456055119
vMAG_45	28259	12816	453.5192328107859	265.366963311829	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	1983	0.010867219979395493	0.41145635866107877	0.5327953868533323	0.020396610495403963	0.7722596118767527
vMAG_45	28259	12816	453.5192328107859	18.868755333821426	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	141	0.0011379986675511772	0.24942798771034527	0.1428315083430448	0.007967420359504956	1.7463092745004343
vMAG_92	12110	6497	536.4987613542527	312.441566161186	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	1110	0.01742355559629033	1.0440319835370044	0.9772374436177965	0.017829398279897254	1.068350369048417
vMAG_8	14960	1585	105.94919786096257	60.35080890814324	bin_33	2421302	632219	261.1070407574107	68703	0.02349903097066235	90	0.002484631318500816	0.10573335222217393	0.2311343605790162	0.010749727181525715	0.4574540624652286
vMAG_8	14960	1585	105.94919786096257	6.7056454342381375	bin_54	1856686	68211	36.73803755723908	11456	0.006671848236303296	10	0.00036002274905986393	0.05396147159056836	0.18252595620521428	0.0019724468593118323	0.29563724914772876
vMAG_93	41104	26725	650.1800311405216	334.5809335737557	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	3208	0.014835706144063737	0.888966183002094	1.0464837320659002	0.014176719321547454	0.8494792186087352
vMAG_18	10483	1070	102.07001812458266	100.21980631567784	bin_8	3640328	1526795	419.41138271056894	212391	0.03211411174496484	325	0.008516423684510898	0.2651925655657029	0.23895347252613408	0.03564051024024966	1.1098083771797838
vMAG_70	92340	16951	183.57158327918563	178.16048281406594	bin_16	3187207	764328	239.81122029413214	149361	0.02954041225454865	6585	0.022374618470273888	0.7574240426122906	0.7429197124119105	0.030117141995915062	1.0195234154620711
vMAG_83	56675	1500	26.46669607410675	22.600774175641718	bin_181	179210	5041	28.129010657887395	536	0.03456530708056576	304	0.029930902689687896	0.8659232397364252	0.8034685062520833	0.03725211686181171	1.0777314020379873
vMAG_20	16553	1756	106.08348939769226	24.670578929695875	bin_92	950247	87194	91.75930047661292	3215	0.00720786792842994	20	0.0012715011972165052	0.17640461920803688	0.26886188976542785	0.004729198319352153	0.6561161173193547
vMAG_12	32468	2896	89.19551558457559	82.81841381183077	bin_46	2059579	287675	139.6766038107788	51828	0.024518942928980957	987	0.014759891342873262	0.6019791059355716	0.5929297502395293	0.024893153593508542	1.0152621043089616
vMAG_74	19663	21053	1070.6911458068453	1060.6157221683713	bin_11	3471114	3311405	953.989122800346	614653	0.1021822006798358	7474	0.10950512293610193	1.071665341004064	1.1117691982221274	0.09849627342726867	0.9639278932334201
vMAG_32	11570	4844	418.66897147796027	32.59533514966819	bin_18	3074640	409803	133.28487237530248	57636	0.012222556715856744	90	0.002529967123245898	0.20699164520657812	0.24455389849409542	0.010345233254611078	0.846405011251848
vMAG_32	11570	4844	418.66897147796027	97.78600544900456	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	270	0.0044359674938440116	0.26580636288093185	0.30584965745973264	0.014503751714771952	0.8690752348347069
vMAG_32	11570	4844	418.66897147796027	222.73479018939926	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	615	0.00823179014621728	0.31167330791560177	0.44719985948366486	0.018407407720837998	0.6969441096771777
vMAG_32	11570	4844	418.66897147796027	20.28154187090465	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	56	0.0011039110952110241	0.24195663047841526	0.1535259303379415	0.007190388573324997	1.5759984645318217
vMAG_61	18466	4105	222.30044405935232	41.73866659436257	bin_138	330930	78160	236.18287855437706	2085	0.038969563260084106	273	0.04467388032994616	1.1463787785300867	0.17672181340931942	0.2527921113307809	6.4869115838850515
vMAG_61	18466	4105	222.30044405935232	42.80888881473084	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	280	0.0028823263361005933	0.17271106722446192	0.1338952738696874	0.02152672198800532	1.2898966650051573
vMAG_61	18466	4105	222.30044405935232	102.74133315535403	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	672	0.005635714387720716	0.2133802872143945	0.20628079569953706	0.027320596513160357	1.0344166382080395
vMAG_41	58018	966	16.65000517080906	14.815682567245348	bin_92	950247	87194	91.75930047661292	3215	0.00720786792842994	315	0.005713619208711362	0.792691995114835	0.1614624620097391	0.03538667215644666	4.909450687473236
vMAG_86	34337	752	21.90057372513615	19.522230877157565	bin_205	134863	3221	23.883496585423725	442	0.05062284364860746	197	0.042541329805099115	0.8403583587756305	0.8173941703775538	0.052045061424219975	1.0280943872984432
vMAG_85	17790	753	42.32715008431703	40.231746614796386	bin_203	140944	5148	36.52514473833579	648	0.06848205867322081	192	0.07657353346847286	1.1181546663756492	1.1014808265104628	0.06951871664535551	1.0151376578365054
vMAG_69	14644	3773	257.64818355640534	58.5336650021348	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	234	0.003037484615993252	0.1820082629560273	0.18307835879543963	0.016591172413704825	0.9941549845298319
vMAG_69	14644	3773	257.64818355640534	8.254747628506191	bin_68	1550312	101527	65.48810820015584	766	0.0006391777005266911	33	0.0014535671884190354	2.2741206196982096	0.12604956617889518	0.011531711155245612	18.041479146946653
vMAG_69	14644	3773	257.64818355640534	137.32898327423936	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	549	0.005805841265043974	0.21982165727836017	0.2757247844894474	0.021056653560522325	0.7972502641915139
vMAG_30	14130	1528	108.13871196036801	108.01238168938627	bin_24	2748639	348521	126.79766240674022	81155	0.021577463899746685	855	0.022014369344292718	1.020248229661094	0.8518483672270336	0.025843061032041016	1.1976876037013975
vMAG_13	12596	1620	128.612257859638	68.16449666560814	bin_74	1339748	315018	235.13227860761876	4537	0.005069524802628579	53	0.0031406540478944745	0.6195164576896885	0.28989850763688163	0.01083363303073076	2.1370115449703406
vMAG_13	12596	1620	128.612257859638	24.43632899333122	bin_27	2593023	323906	124.91443384806074	39075	0.011649075655272519	19	0.0005817207830237977	0.04993707657487	0.19562454266137305	0.002973659516897933	0.2552699978003849
vMAG_28	12258	376	30.67384565181922	23.595265886014786	bin_52	1961920	162686	82.92183167509378	22113	0.011532674157950099	40	0.0016632559275314336	0.14422118450167612	0.2845482957789246	0.0058452500057272335	0.5068425523578836
vMAG_63	87180	4956	56.84790089470062	54.72220879454507	bin_151	273043	16076	58.87717319250081	3178	0.08784766682599189	1905	0.08002894068307596	0.910996769459988	0.9294299611774677	0.08610540226365163	0.9801672073341307
