	vMAG_19	vMAG_72	vMAG_37	vMAG_14	vMAG_6	vMAG_50	vMAG_51	vMAG_88	vMAG_76	vMAG_35	vMAG_101	vMAG_103	vMAG_5	vMAG_25	vMAG_82	vMAG_97	vMAG_45	vMAG_92	vMAG_8	vMAG_93	vMAG_18	vMAG_70	vMAG_83	vMAG_20	vMAG_12	vMAG_74	vMAG_32	vMAG_65	vMAG_61	vMAG_41	vMAG_86	vMAG_85	vMAG_69	vMAG_30	vMAG_13	vMAG_28	vMAG_63	vMAG_1	vMAG_89	vMAG_78	vMAG_15	vMAG_47	vMAG_29	vMAG_94	vMAG_54	vMAG_36	vMAG_4	vMAG_48	vMAG_66	vMAG_10	vMAG_75	vMAG_90	vMAG_57	vMAG_62	vMAG_31	vMAG_11	vMAG_79	vMAG_27	vMAG_49	vMAG_102	vMAG_42	vMAG_21	vMAG_104	vMAG_52	vMAG_43	vMAG_26	vMAG_23	vMAG_80	vMAG_67	vMAG_3	vMAG_39	vMAG_24	vMAG_34	vMAG_53	vMAG_95	vMAG_84	vMAG_71	vMAG_9	vMAG_100	vMAG_64	vMAG_2	vMAG_73	vMAG_59	vMAG_60	vMAG_7	vMAG_40	vMAG_68	vMAG_87	vMAG_77	vMAG_55	vMAG_16	vMAG_22	vMAG_96	vMAG_33	vMAG_17	vMAG_44	vMAG_81	vMAG_38	vMAG_98	vMAG_46	vMAG_91	vMAG_58	vMAG_56	vMAG_99
bin_77	0.0008906919505975941	0.005451205056219049	0.05632056937132054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000300122052969474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001570642283666657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032475152524694788	0.0	0.0	0.0	0.0017052536224471846	0.0
bin_34	0.0015006436639494563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009746062488865289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015217550379453376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001963952520235876	0.0	0.0	0.0	0.00024153223341441952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017849370123951212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011586381231302205	0.0	0.0
bin_11	0.005386687378785284	0.0	0.0	0.0	0.0	0.0	0.0	0.0006060160160860283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007013757107707761	0.0	0.0	0.00010932598678909206	0.0	0.0005104869963624242	0.0	0.0	0.0	1.1117691982221274	0.0	0.0020205761037408233	0.00016026271680671546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012960800918453803	0.0	0.0	0.0	0.0	0.0	0.1489356203116774	0.0	0.0	0.0	0.0008795148260660581	0.00013459481389260048	0.0	0.0	0.0	0.0	0.34571684211784165	0.0	0.0	2.7682409346101812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008812217140081551	0.0	0.0001563364697240607	0.0	0.0063941278340244505	0.00010228102758958835	0.0	0.0	0.003221282928613931	0.0	0.0	0.0	0.0	0.00020467985667592484	0.0	0.0	0.00015020970404484675	2.0022445008885853e-05	0.00014211799715754619	0.00018642951616629284	0.0	0.0	0.0	0.0003284781688463268	0.0	0.00032666726062842026	0.00037242306668390756	0.0	0.0	0.00012706988331887448	0.0	0.0	0.00044142141600944635	0.0	0.0049100447722563315	0.0	0.00025456246333603773	0.0	0.0	0.0
bin_45	0.0017686931853489272	0.0	0.0	0.0	0.0	0.0	0.0	0.00636743926642572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007385465475541506	0.0	0.003396311255223779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001543584291951713	0.0	0.0	0.0	0.0	0.0	0.003118905814606557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125276019436222	0.0	0.0	0.16692718772799958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003913066974436469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02731195155647443	0.0	0.0
bin_71	0.0004000233228618547	0.0	0.0	0.0	0.0	0.0	0.0	0.0014401164851970474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002396616344816985	0.0	0.0	0.0	0.0	0.0	0.00013478938572692974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021125412039687026	0.000578309965539198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005235265586102058	0.0	0.0	0.004047647800477816	0.0	0.0	0.0	0.0	0.00765495057200304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008845917626426674	0.0	0.0	0.0	0.0008626562115079857
bin_192	1.0686916924657104	0.016685197738907875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009636428614570893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003941320293860502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0004577014272198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_7	0.003518254464649822	0.0	0.0	0.11045937871567738	0.0	0.0	0.2619599677183343	0.0	0.0	0.0	0.0	0.0	0.004376531156100812	0.0	0.0	0.0	0.058636247232098176	0.05550094373905126	0.0	0.034274420391676705	0.0	0.0	0.0	0.0	0.0	0.0031089733429016547	0.015869197612995947	0.0	0.016747807452654823	0.0	0.0	0.0	0.005480269189692256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021367069524504446	0.0	0.0	0.0	0.0	0.0597423057211021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025324643609744228	0.0	0.0	0.0	0.0	0.0	0.0	0.059339515169878405	0.0	0.0	0.0	0.0	0.0046247242949257784	0.0	0.0	0.0	0.0	0.0	0.0	0.03311990270836048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21450222971822366	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_18	0.0	0.014747871436520335	0.0	0.018913839914510667	0.0	0.0	0.07090003133515829	0.0	0.0	0.0	0.0	0.0	0.05095843126068137	0.0	0.0	0.0	0.1435751628254254	0.23230451570303218	0.0	0.3216087013864634	0.0	0.0	0.0	0.0	0.0	0.0	0.24455389849409542	0.0	0.11012002372316791	0.0	0.0	0.0	0.07694720628063205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024039137142902504	0.10689650666144344	0.0	0.0	0.0	0.0	0.6578426364269964	0.0	0.0	0.0	0.0	0.0	0.0	0.0016834985492814145	0.0	0.0	0.02426579205134342	0.0	0.0	0.0	0.0050956125457009074	0.0	0.3477071561446035	0.2838312868751075	0.0	0.0	0.0	0.0	0.0	0.0	0.025401602461857433	0.0	0.0	0.0	0.0	0.11403166142270356	0.0	0.0	0.0	0.0	0.00014331104805772848	0.0	0.11342170218474906	0.0	0.0	0.0	0.0	0.0	0.11223011567115954	0.0	0.0	0.0	0.0	0.0	0.0	0.0015797412787340811	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_58	0.0	0.004114010795377809	0.0	0.04220906965470741	0.0	0.33560871598287145	0.0	0.007259956172491692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009060054451180432	0.0	0.0	0.0	0.0	0.003031992734339882	0.0	0.0	0.0	0.0	0.0	0.0010470684637366914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006816596774985794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006519478875263221	0.0	0.0	0.0	0.016110079562308918	0.0	0.0	0.0011603547755535911	0.0	0.0	0.0	0.000726864258560527	0.0	0.0	0.0	0.0	0.006801705726633302	0.0	0.00020421786384834144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026234038332810087	0.0	0.0	0.0	0.0	0.0	0.6175353901595977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_56	0.0	0.009074832539605455	0.0	0.0	0.0	0.28201818687249275	0.0	0.016014271665076355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012356132372112931	0.0	0.0	0.0	0.0	0.0	0.0013728975808123753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039220637153350325	0.0	0.0	0.0	0.3797930434610769	0.00024384043317065928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011741961983338968	0.0	0.0	0.0	0.0	0.0	0.0	0.15110479097191248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04579350176504102	0.0	0.0
