mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_19	15835	1096	69.2137669718977	0.16058878647772087	bin_77	1234532	222582	180.29666302696083	15260	0.020104663032706645	1	5.115399782033429e-05	0.002544384739854431	0.0008906919505975941	0.05743175043404559	2.8566383003094624
vMAG_19	15835	1096	69.2137669718977	0.32117757295544175	bin_34	2418957	517721	214.02654119110014	104264	0.03571772759160054	2	5.2213617056552e-05	0.0014618403962751167	0.0015006436639494563	0.03479414754541664	0.9741422506844728
vMAG_19	15835	1096	69.2137669718977	5.138841167287068	bin_11	3471114	3311405	953.989122800346	614653	0.1021822006798358	32	0.000582187710224514	0.005697545231470049	0.005386687378785284	0.1080789860791586	1.0577085378871316
vMAG_19	15835	1096	69.2137669718977	0.16058878647772087	bin_45	2083459	189168	90.79516323575362	21802	0.010107675168967753	1	3.0310770328157612e-05	0.002998787537337639	0.0017686931853489272	0.01713738175690314	1.6954820441319443
vMAG_19	15835	1096	69.2137669718977	0.16058878647772087	bin_71	1399736	561922	401.4485588711014	36746	0.03764482801365829	1	4.511654143147917e-05	0.0011984791487189156	0.0004000233228618547	0.11278477741924027	2.9960231822103083
vMAG_19	15835	1096	69.2137669718977	62.95080429926658	bin_192	158273	9323	58.904550997327405	1545	0.1334926457089608	392	0.15640879314195164	1.1716659918700867	1.0686916924657104	0.1463553934634615	1.0963554785073621
vMAG_19	15835	1096	69.2137669718977	0.32117757295544175	bin_7	3776319	344736	91.2888979982888	61131	0.008588260773297766	2	3.344592829002684e-05	0.0038943773568235625	0.003518254464649822	0.009506398308047276	1.1069061081149447
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_77	1234532	222582	180.29666302696083	15260	0.020104663032706645	1	1.7815244908177036e-05	0.000886125018817518	0.005451205056219049	0.0032681296565522473	0.16255580365786745
vMAG_72	45468	715	15.725345297791854	1.9656681622239818	bin_18	3074640	409803	133.28487237530248	57636	0.012222556715856744	2	1.4306383789309716e-05	0.0011704902764533341	0.014747871436520335	0.0009700643140868887	0.07936672634362914
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_58	1825732	436166	238.89924698696194	34476	0.02075351288260169	1	1.2046395597481784e-05	0.0005804509176651558	0.004114010795377809	0.002928139034301077	0.14109124806315687
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_56	1835300	198769	108.30327466899145	8104	0.00482345710908732	1	1.1983593923054331e-05	0.0024844408589178545	0.009074832539605455	0.0013205305850828779	0.2737726396685519
vMAG_72	45468	715	15.725345297791854	1.9656681622239818	bin_182	178929	312978	1749.174253474842	1323	0.08448866639087603	2	0.0002458348275235609	0.0029096781618760258	0.0011237692061377312	0.2187591777572084	2.5892132886220147
vMAG_72	45468	715	15.725345297791854	1.9656681622239818	bin_43	2159655	113862	52.722309813372966	16455	0.007072579408020301	2	2.036759568262673e-05	0.0028797973847462053	0.037283422694909925	0.0005462909306716465	0.07724069242010247
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_21	2890967	899288	311.06823426209985	112845	0.027056896414916237	1	7.607658588625056e-06	0.00028117262497375786	0.0031595449900033014	0.002407833600311261	0.08899149271916652
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_10	3506911	1237860	352.9773068093259	205555	0.03349400972292997	1	6.271470797799435e-06	0.00018724156497470622	0.0027844115249111637	0.002252350538593438	0.06724636904405866
vMAG_72	45468	715	15.725345297791854	0.9828340811119909	bin_192	158273	9323	58.904550997327405	1545	0.1334926457089608	1	0.00013895920294037273	0.0010409502501233668	0.016685197738907875	0.008328292245307742	0.062387648406227514
vMAG_72	45468	715	15.725345297791854	1.9656681622239818	bin_3	4895307	302646	61.823701761707696	64750	0.005418470297411249	2	8.985540611439329e-06	0.0016583168529561373	0.03179473415876038	0.0002826109684255231	0.052156965511196855
vMAG_72	45468	715	15.725345297791854	1.9656681622239818	bin_114	578136	1341565	2320.5007126350893	31557	0.19110254707622035	2	7.608413911945153e-05	0.0003981325224781317	0.0008470879373235914	0.08981846602590333	0.47000140709835575
vMAG_37	28084	1212	43.15624554906709	10.15441071742755	bin_77	1234532	222582	180.29666302696083	15260	0.020104663032706645	4	0.00011537153617504537	0.005738546126704873	0.05632056937132054	0.0020484795779389733	0.10189076905225758
vMAG_37	28084	1212	43.15624554906709	5.077205358713775	bin_117	561217	184314	328.4184192567224	8083	0.0517759938783326	2	0.0001268937445740695	0.0024508219943059836	0.015459563352763593	0.008208106637849226	0.15853112655137622
vMAG_37	28084	1212	43.15624554906709	2.5386026793568877	bin_138	330930	78160	236.18287855437706	2085	0.038969563260084106	1	0.0001075981727988178	0.002761082337020412	0.010748461932952594	0.010010564624966826	0.2568816221561427
vMAG_37	28084	1212	43.15624554906709	2.5386026793568877	bin_116	571474	1147128	2007.314418503729	27226	0.1681769346790357	1	6.230810732301518e-05	0.0003704913961116588	0.0012646761543461567	0.04926803364552149	0.2929535714249349
vMAG_37	28084	1212	43.15624554906709	2.5386026793568877	bin_12	3297004	585912	177.71043043927153	129548	0.023898111167195285	1	1.0799945442684563e-05	0.000451916277697693	0.01428505166006222	0.0007560312485868548	0.031635606818360265
vMAG_37	28084	1212	43.15624554906709	2.5386026793568877	bin_5	4144424	257510	62.13408666680822	56148	0.006551494619556691	1	8.591655516982041e-06	0.0013114038881044518	0.04085684389262937	0.00021028681362566008	0.03209753282830127
vMAG_37	28084	1212	43.15624554906709	10.15441071742755	bin_21	2890967	899288	311.06823426209985	112845	0.027056896414916237	4	4.926720135416665e-05	0.0018208740795195588	0.0326436762066539	0.001509241821977278	0.05578030084578532
vMAG_37	28084	1212	43.15624554906709	2.5386026793568877	bin_22	2855010	551889	193.3054525203064	4450	0.001093535291850599	1	1.24719224536211e-05	0.011405139410283467	0.013132597380253472	0.0009496919834285196	0.8684602961659772
vMAG_37	28084	1212	43.15624554906709	5.077205358713775	bin_55	1840155	205860	111.87101086593249	38805	0.023054868117582446	2	3.8700504386111794e-05	0.001678626144757577	0.04538445947179611	0.0008527259074256901	0.036986804829101216
vMAG_14	20096	13881	690.734474522293	2.520928739132456	bin_57	1830468	76043	41.542927819552155	12210	0.007337123247807352	1	2.7184931119700148e-05	0.0037051212309707586	0.06068250052289243	0.00044798633684260675	0.06105749102367666
