	vMAG_19	vMAG_6	vMAG_50	vMAG_51	vMAG_76	vMAG_35	vMAG_101	vMAG_103	vMAG_5	vMAG_25	vMAG_82	vMAG_97	vMAG_45	vMAG_92	vMAG_8	vMAG_93	vMAG_18	vMAG_70	vMAG_83	vMAG_20	vMAG_12	vMAG_74	vMAG_32	vMAG_61	vMAG_41	vMAG_86	vMAG_85	vMAG_69	vMAG_30	vMAG_13	vMAG_28	vMAG_63	vMAG_89	vMAG_15	vMAG_47	vMAG_29	vMAG_94	vMAG_54	vMAG_36	vMAG_4	vMAG_48	vMAG_66	vMAG_10	vMAG_75	vMAG_90	vMAG_62	vMAG_31	vMAG_11	vMAG_79	vMAG_27	vMAG_49	vMAG_42	vMAG_21	vMAG_104	vMAG_43	vMAG_26	vMAG_23	vMAG_80	vMAG_67	vMAG_3	vMAG_24	vMAG_34	vMAG_84	vMAG_71	vMAG_9	vMAG_64	vMAG_2	vMAG_73	vMAG_59	vMAG_60	vMAG_7	vMAG_68	vMAG_87	vMAG_77	vMAG_55	vMAG_16	vMAG_22	vMAG_96	vMAG_33	vMAG_17	vMAG_44	vMAG_81	vMAG_98	vMAG_46	vMAG_91	vMAG_56	vMAG_99
bin_192	1.0686916924657104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0004577014272198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_35	0.0	0.8090038319507565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_58	0.0	0.0	0.33560871598287145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6175353901595977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_56	0.0	0.0	0.28201818687249275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3797930434610769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15110479097191248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_75	0.0	0.0	0.16168348699309193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18953380136466128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_2	0.0	0.0	0.0	0.1773412767596182	0.0	0.0	0.0	0.0	0.14808041817910353	0.0	0.0	0.0	0.3055471895852125	0.9772374436177965	0.0	1.0464837320659002	0.0	0.0	0.0	0.0	0.0	0.0	0.30584965745973264	0.1338952738696874	0.0	0.0	0.0	0.18307835879543963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15915402809227797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9934242874054159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9018909434013416	0.0	0.0	0.0	0.0	0.0	0.14189858562924615	0.0	0.0	0.2324062334967222	0.0	0.0	0.0	0.0	0.0	0.15520066993072465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_46	0.0	0.0	0.0	0.13393043366018562	0.0	0.0	0.0	0.6270300308011832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5929297502395293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8907722140750433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9101852865915453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_17	0.0	0.0	0.0	0.3564541627169569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_1	0.0	0.0	0.0	0.3759793897801267	0.0	0.0	0.0	0.0	0.2354342789080607	0.0	0.0	0.0	0.5327953868533323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44719985948366486	0.20628079569953706	0.0	0.0	0.0	0.2757247844894474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14592493708133467	0.0	0.0	0.0	0.0	0.8844219089395654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14410911051305503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18746966359619777	0.0	0.0	0.0	0.0	0.13264732482948766	0.0	0.0	0.0	0.0	0.0	0.0	0.43416106280721023	0.0	0.0	0.0	0.0	0.0
bin_7	0.0	0.0	0.0	0.2619599677183343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21450222971822366	0.0	0.0	0.0	0.0	0.0
