	vMAG_19	vMAG_72	vMAG_37	vMAG_14	vMAG_6	vMAG_50	vMAG_51	vMAG_88	vMAG_76	vMAG_35	vMAG_101	vMAG_103	vMAG_5	vMAG_25	vMAG_82	vMAG_97	vMAG_45	vMAG_92	vMAG_8	vMAG_93	vMAG_18	vMAG_70	vMAG_83	vMAG_20	vMAG_12	vMAG_74	vMAG_32	vMAG_65	vMAG_61	vMAG_41	vMAG_86	vMAG_85	vMAG_69	vMAG_30	vMAG_13	vMAG_28	vMAG_63	vMAG_1	vMAG_89	vMAG_78	vMAG_15	vMAG_47	vMAG_29	vMAG_94	vMAG_54	vMAG_36	vMAG_4	vMAG_48	vMAG_66	vMAG_10	vMAG_75	vMAG_90	vMAG_57	vMAG_62	vMAG_31	vMAG_11	vMAG_79	vMAG_27	vMAG_49	vMAG_102	vMAG_42	vMAG_21	vMAG_104	vMAG_52	vMAG_43	vMAG_26	vMAG_23	vMAG_80	vMAG_67	vMAG_3	vMAG_39	vMAG_24	vMAG_34	vMAG_53	vMAG_95	vMAG_84	vMAG_71	vMAG_9	vMAG_100	vMAG_64	vMAG_2	vMAG_73	vMAG_59	vMAG_60	vMAG_7	vMAG_40	vMAG_68	vMAG_87	vMAG_77	vMAG_55	vMAG_16	vMAG_22	vMAG_96	vMAG_33	vMAG_17	vMAG_44	vMAG_81	vMAG_38	vMAG_98	vMAG_46	vMAG_91	vMAG_58	vMAG_56	vMAG_99
bin_77	2.8566383003094624	0.16255580365786745	0.10189076905225758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.907656282779486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5586891265773177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4656224652006762	0.0	0.0	0.0	0.5763851207455389	0.0
bin_34	0.9741422506844728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5778362030286679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8006749681722137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5994588147137705	0.0	0.0	0.0	0.8734883770450814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9932495562975769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02697182159021774	0.0	0.0
bin_11	1.0577085378871316	0.0	0.0	0.0	0.0	0.0	0.0	0.08952668010659783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711243587889312	0.0	0.0	0.6274055816943184	0.0	1.0765986282561064	0.0	0.0	0.0	0.9639278932334201	0.0	0.04980873754078785	0.9526876581613882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19021724379084468	0.0	0.0	0.0	0.0	0.0	0.9013722986973078	0.0	0.0	0.0	0.5075805438622771	0.8575108688747282	0.0	0.0	0.0	0.0	1.0385896006335211	0.0	0.0	1.178113105134265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6508830778964197	0.0	0.5596842387033527	0.0	0.9484201239568338	0.6622105699479112	0.0	0.0	0.13234137486058534	0.0	0.0	0.0	0.0	0.6080452086953043	0.0	0.0	1.0239892930155006	1.0784549537917891	1.17147874745108	0.9433079494898746	0.0	0.0	0.0	0.8450529215962603	0.0	0.5337528911778253	0.22446135818488663	0.0	0.0	0.6677224345142982	0.0	0.0	1.048265501377656	0.0	0.17240294538565026	0.0	0.8302438677656767	0.0	0.0	0.0
bin_45	1.6954820441319443	0.0	0.0	0.0	0.0	0.0	0.0	0.1435091739872849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4297880135233015	0.0	1.3337385216774948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7148379267451357	0.0	0.0	0.0	0.0	0.0	1.5186421991742978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10984665023533545	0.0	0.0	0.05006073755282342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35980630653144524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04694410818503409	0.0	0.0
bin_71	2.9960231822103083	0.0	0.0	0.0	0.0	0.0	0.0	0.2535897172216225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4467214177646535	0.0	0.0	0.0	0.0	0.0	3.0495305016960237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6976820394135932	2.553191362238492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8436655472040473	0.0	0.0	0.1941059250566745	0.0	0.0	0.0	0.0	0.37486492057626614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8625738612351819	0.0	0.0	0.0	0.9440586183569193
bin_192	1.0963554785073621	0.062387648406227514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9991482424294205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9343069687473974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.983073844618681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_7	1.1069061081149447	0.0	0.0	0.05556148907934051	0.0	0.0	0.6567357104736278	0.0	0.0	0.0	0.0	0.0	0.8012788913491439	0.0	0.0	0.0	0.7443259117156513	0.8257604863160205	0.0	0.6565883187727081	0.0	0.0	0.0	0.0	0.0	1.0087634112643427	0.6717346755835621	0.0	0.9970003551744921	0.0	0.0	0.0	0.7684126175105442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6272229902031617	0.0	0.0	0.0	0.0	0.5311898166992151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.681157832035089	0.0	0.0	0.0	0.0	0.0	0.0	0.6073378798094455	0.0	0.0	0.0	0.0	0.4897634953847966	0.0	0.0	0.0	0.0	0.0	0.0	0.9871843648057491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09702384431818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_18	0.0	0.07936672634362914	0.0	0.0700090742650943	0.0	0.0	0.8275058838223888	0.0	0.0	0.0	0.0	0.0	1.0096344489869542	0.0	0.0	0.0	0.9378720566024394	1.0404819627696855	0.0	0.8273201660400413	0.0	0.0	0.0	0.0	0.0	0.0	0.846405011251848	0.0	1.2562491226263748	0.0	0.0	0.0	0.968221998670913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.519975796702893	0.7903190074550261	0.0	0.0	0.0	0.0	0.6693144467934152	0.0	0.0	0.0	0.0	0.0	0.0	0.9508136091388971	0.0	0.0	0.6934746451106287	0.0	0.0	0.0	0.8376172996847886	0.0	0.006373226565104991	0.8582784594037594	0.0	0.0	0.0	0.0	0.0	0.0	0.7652631964357187	0.0	0.0	0.0	0.0	0.6171160904590604	0.0	0.0	0.0	0.0	1.4220905224149487	0.0	1.2438806924403252	0.0	0.0	0.0	0.0	0.0	0.7038262703386933	0.0	0.0	0.0	0.0	0.0	0.0	1.3822815957610457	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_58	0.0	0.14109124806315687	0.0	0.12445602986119997	0.0	1.6923271648868263	0.0	0.20986466397033643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5237170537416356	0.0	0.0	0.0	0.0	1.5046650517924451	0.0	0.0	0.0	0.0	0.0	1.7212206738025426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0379180760220694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2208289962642023	0.0	0.0	0.0	1.8002477461545319	0.0	0.0	1.5910404078463465	0.0	0.0	0.0	3.0002738077665585	0.0	0.0	0.0	0.0	0.1606373286069382	0.0	1.5523260616192716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9809373833229005	0.0	0.0	0.0	0.0	0.0	1.5652467418421672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_56	0.0	0.2737726396685519	0.0	0.0	0.0	3.2837818183199405	0.0	0.4072201771338353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2351555927320175	0.0	0.0	0.0	0.0	0.0	2.903586987551384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.309283707573063	0.0	0.0	0.0	3.4931902884682704	5.358753689796569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.960255649834187	0.0	0.0	0.0	0.0	0.0	0.0	3.0371957022799227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13320812544146662	0.0	0.0
