mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_19	62462	6196	99.19631135730525	63.439501449439405	bin_88	1749133	171483	98.03885696513645	3191	0.0021173956125259325	220	0.0020136498836903207	0.9510031435685043	0.6470852824406051	0.003111877117797298	1.4696720345448366
vMAG_37	52581	6139	116.75319982503186	109.10462796751531	bin_124	1368296	162033	118.4195524944895	14538	0.015759775319849133	970	0.013482264266550846	0.8554858170833307	0.9213396408721639	0.014633327025621286	0.9285238354376089
vMAG_299	21859	8796	402.3971819387895	381.1864871076786	bin_31	2518876	1020187	405.0167614443903	97498	0.031018748534795068	1887	0.03427163482623861	1.104868392346475	0.9411622515282404	0.036414162138981895	1.1739404024677063
vMAG_14	20907	3321	158.84631941455015	137.53276263234469	bin_20	2856295	422928	148.06873939841648	19781	0.004873154031867959	342	0.005727054647676771	1.1752254515709404	0.9288440165771785	0.006165787307088611	1.2652559855008656
vMAG_278	11010	3403	309.08265213442326	170.16910061333417	bin_58	2157948	153383	71.07817241193949	5558	0.002413406957364536	49	0.0020623757133477697	0.8545495019206807	2.394111931115855	0.0008614366298181101	0.35693799058191467
vMAG_120	15935	12586	789.8336994038281	36.566374972399444	bin_2	5101738	148221	29.053040356051213	4084	0.00031616987900277843	5	6.150349346798944e-05	0.19452673247045446	1.2586075166065482	4.8866300778033545e-05	0.15455710370690978
vMAG_186	19056	7533	395.30856423173805	223.84942793845408	bin_132	1253188	567086	452.51470649256134	7786	0.01011920017761612	94	0.0039362246965306096	0.38898575257337237	0.49467879104639406	0.007957132522710976	0.7863400647328153
vMAG_186	19056	7533	395.30856423173805	4.762753785924555	bin_7	3343853	62561	18.709255460691605	813	0.0001456465688615949	2	3.138709157342132e-05	0.21550175756799228	0.2545667194470226	0.0001232961309380947	0.846543326779367
vMAG_186	19056	7533	395.30856423173805	4.762753785924555	bin_28	2617741	77169	29.479234194673957	1299	0.00038082305533200983	2	4.009327902151497e-05	0.10528059806295283	0.16156300921769012	0.000248158778520232	0.6516380115271166
vMAG_186	19056	7533	395.30856423173805	4.762753785924555	bin_125	1361891	44328	32.5488603713513	1403	0.0015234611317514529	2	7.706477267201238e-05	0.05058532250403696	0.14632628398002567	0.0005266639087379007	0.34570222880082246
vMAG_186	19056	7533	395.30856423173805	4.762753785924555	bin_203	495193	15288	30.872811206943556	171	0.001405889586850772	2	0.00021194528258489036	0.15075528303730673	0.15427016846633557	0.0013738578539968375	0.9772160394717153
vMAG_111	20147	1484	73.65860922221671	62.474841329838256	bin_26	2655902	187129	70.45779550600888	6473	0.0018458719116897534	162	0.003027558768918156	1.6401781454850026	0.8866987801869304	0.003414416300741835	1.849757981102925
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_29	2608979	122598	46.99079601637269	3594	0.0010697345583183652	2	5.840635450915948e-05	0.05459892274675591	0.1600282796180863	0.0003649752071855581	0.34118296389274666
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_158	1021862	25095	24.558110586360975	214	0.000430034557635267	2	0.0001491208718799137	0.34676485699177295	0.30620662847576335	0.0004869942646970388	1.1324537901674452
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_170	884537	23017	26.021523124527295	185	0.0004757630242953168	2	0.000172271993575116	0.362096221811855	0.28898601393922635	0.0005961257128912292	1.252988741136807
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_337	118137	3399	28.771680337235583	15	0.0023582723524272235	2	0.001289866446421971	0.5469539788711815	0.26136312360778374	0.004935150868328377	2.0926975899322793
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_36	2459025	119484	48.58998993503523	2524	0.0008525237389609196	2	6.196803708012418e-05	0.07268775548192077	0.15476142831967216	0.0004004100876616635	0.4696761736508297
vMAG_293	13125	5231	398.55238095238093	7.519856244384545	bin_100	1610859	85209	52.896622236955565	724	0.0005697426611797145	2	9.459608344426941e-05	0.16603300031701657	0.14216136922124475	0.0006654134239312945	1.16791925420063
vMAG_6	46245	119339	2580.5816845064332	1211.7221716243168	bin_87	1754433	5221690	2976.2835058392084	50830	0.03387239269669759	1442	0.017773120648272786	0.5247081541424615	0.4071259237391276	0.04365509443623933	1.2888104725030396
vMAG_6	46245	119339	2580.5816845064332	5.041839826453468	bin_116	1483997	49747	33.52230496422836	1413	0.001292842978103581	6	8.742858380558625e-05	0.0676250598768241	0.15040254039313863	0.0005812972545347694	0.4496271120159161
vMAG_6	46245	119339	2580.5816845064332	25.209199132267337	bin_113	1504005	173466	115.33605273918637	5251	0.004696175955512075	30	0.0004313275424009181	0.09184654631491246	0.21857171746005405	0.0019733913765844252	0.4202124015962781
vMAG_6	46245	119339	2580.5816845064332	2.520919913226734	bin_24	2678982	24210	9.037014806370479	387	0.00010885669465853493	3	2.4215122774572312e-05	0.22244955030584992	0.27895493890854944	8.680657481569387e-05	0.797439009957003
vMAG_6	46245	119339	2580.5816845064332	11.764292928391425	bin_13	3049626	129840	42.575712562786386	2489	0.0005395409996405361	14	9.926969105634264e-05	0.18398915211722577	0.276314645610279	0.00035926322630163826	0.6658682593926947
vMAG_6	46245	119339	2580.5816845064332	3.3612265509689787	bin_144	1178681	24340	20.650201369157557	251	0.0003627678420788487	4	7.338358503091652e-05	0.20228801045426284	0.16276967429427555	0.0004508431029863979	1.2427868479268507
vMAG_6	46245	119339	2580.5816845064332	5.041839826453468	bin_234	286262	8748	30.559417596467572	230	0.006025143866745363	6	0.00045323429614038387	0.07522381310128119	0.16498481394607026	0.002747127358573352	0.4559438611475486
vMAG_6	46245	119339	2580.5816845064332	8.403066377422446	bin_189	619157	16854	27.220882587130568	87	0.00045823657165094164	10	0.00034924840302146996	0.7621574196123032	0.30869926243299806	0.0011313548346986184	2.4689317804176043
vMAG_6	46245	119339	2580.5816845064332	3.3612265509689787	bin_7	3343853	62561	18.709255460691605	813	0.0001456465688615949	4	2.5867117181235454e-05	0.17760196744364415	0.17965581570207112	0.00014398151866194917	0.9885678721259269
vMAG_6	46245	119339	2580.5816845064332	13.444906203875915	bin_207	443373	16073	36.251643649929065	157	0.001611741524655219	16	0.0007803437501861928	0.4841618449665014	0.37087714790836035	0.002104049156404231	1.3054507340153847
vMAG_6	46245	119339	2580.5816845064332	2.520919913226734	bin_25	2666493	36429	13.661764722427549	675	0.00019100644695170955	3	2.4328538661406307e-05	0.12737024875164069	0.18452373938839092	0.00013184503382623788	0.6902648362417373
vMAG_254	20777	1749	84.17962169706887	7.014968474755738	bin_10	3195245	137892	43.15537619181002	3341	0.0006595085866183549	2	3.012610545302804e-05	0.04567962580669393	0.16255143840194425	0.00018533275219955055	0.2810164355097307
