mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_113	5883	25136	4272.650008499065	3737.7576733314036	bin_9	4327035	20461537	4728.7662336912	4864700	0.5228718278632225	13249	0.5211763601350278	0.9967573932312944	0.790429784137113	0.6593582005566496	1.2610321792459058
k141_495	5432	714	131.44329896907217	34.42562592047128	bin_80	2107339	289772	137.50611553243215	17253	0.007812222843439546	77	0.006726614812310104	0.8610372421671124	0.25035705348211706	0.0268680858747628	3.439237002478207
k141_2083	6432	1193	185.47885572139305	45.57220042294669	bin_1	7557399	1737186	229.8655926463589	70493	0.002471677401291282	100	0.0020589765101068566	0.8330280112733087	0.198255858557562	0.01038545102821791	4.201782571945765
k141_2157	6274	3033	483.4236531718202	354.66341948340175	bin_66	2464498	1193811	484.40331458982723	132897	0.04389439459300265	774	0.05018512288128448	1.1433150712433942	0.7321655504849633	0.06854340913478303	1.5615526713679693
k141_2253	6145	2256	367.1277461350692	143.11759595095918	bin_13	4085890	3834265	938.4161100763848	697337	0.08365541770008586	253	0.010091729825314021	0.12063450404962431	0.15250973892520853	0.0661710517402633	0.7909954137996659
k141_2373	6259	428	68.38153059594184	24.360920274804283	bin_43	2908250	286192	98.40694575775811	21401	0.005087458294594789	57	0.003131397260909132	0.6155131068565437	0.2475528539903266	0.012649408845157145	2.4863906714668524
k141_2465	5020	627	124.9003984063745	57.24601593625498	bin_93	1581948	685850	433.5477525177819	46405	0.0372055257739662	99	0.012506034224675194	0.3361337856277799	0.13204085502416957	0.09471336899769403	2.545680165175028
k141_2466	13638	1677	122.96524417069952	48.56085066402201	bin_93	1581948	685850	433.5477525177819	46405	0.0372055257739662	233	0.010893647628775652	0.292796497352505	0.11200807842275759	0.09725769589278394	2.614065891277849
k141_2547	6459	1409	218.14522371884192	96.63450699825891	bin_30	3242753	662387	204.26686830603504	66694	0.012727447078211792	303	0.014495372353954704	1.1389065116420272	0.47307969128640065	0.0306404451954782	2.407430571676216
k141_3527	14904	2839	190.48577563070316	106.8220745189303	bin_44	2894731	802159	277.1100319857009	87744	0.02111416912423368	655	0.015260615808063146	0.7227665800283778	0.3854861325426226	0.03958797611578363	1.874948328908985
