mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_3849	12393	31	2.5014120874687324	2.001129669974986	bin_31	2518876	8820	3.5015618077269384	924	0.0002939683239261384	4	0.0001287712104953297	0.4380445102911305	0.5714963150326432	0.0002253229060417904	0.7664870249707733
k141_3849	12393	31	2.5014120874687324	0.5002824174937465	bin_278	186443	56	0.3003598955176649	0	0.0	1	0.0004327902495614819	1	1.665609906514046	0.0002598389021756411	1
k141_3850	7851	26	3.311680040759139	3.311680040759139	bin_31	2518876	8820	3.5015618077269384	924	0.0002939683239261384	6	0.0003043513527582566	1.035320230062362	0.9457722646652175	0.00032180194337374683	1.0946823762365698
k141_5120	6660	18	2.7027027027027026	2.5096525096525095	bin_15	2975678	13135	4.414120076164155	2652	0.0006063122319462077	13	0.0006574402553140305	1.0843262277650352	0.568551028596708	0.0011563434454365828	1.9071748589416122
k141_5120	6660	18	2.7027027027027026	0.19305019305019303	bin_101	1586122	23106	14.567605770552328	233	0.00018906130366703778	1	9.466494390100518e-05	0.5007103096449753	0.01325201931537948	0.007143435400153912	37.78369905210458
k141_11100	14842	130	8.758927368279208	4.379463684139604	bin_44	2384306	11417	4.7883954492418335	367	0.00013013505621007192	1	2.825827069653749e-05	0.21714572167949328	0.9145994165609322	3.089688248741068e-05	0.23742167089500507
k141_11100	14842	130	8.758927368279208	4.379463684139604	bin_47	2359997	1787	0.757204352378414	34	1.2330820454001173e-05	1	2.85493432285628e-05	2.315283345099632	5.78372756361411	4.936149380231702e-06	0.40030989005520656
k141_11101	20650	208	10.072639225181598	1.5496368038740922	bin_87	1754433	44359	25.2839521372432	440	0.0002932097734909884	2	5.520433110989747e-05	0.18827589016774074	0.061289342562529256	0.0009007166466759915	3.0719189062218435
k141_11101	20650	208	10.072639225181598	0.7748184019370461	bin_75	1974497	12551	6.3565556189753645	173	8.919966109671867e-05	1	2.452581600329875e-05	0.2749541388582806	0.12189280616440855	0.00020120806776913828	2.255704397250675
k141_11101	20650	208	10.072639225181598	1.5496368038740922	bin_16	2937357	12988	4.421662058782776	759	0.00017928416219335305	2	3.2972600961384926e-05	0.1839125138439439	0.3504647762024324	9.408249616029767e-05	0.5247674697491252
k141_11101	20650	208	10.072639225181598	2.3244552058111383	bin_35	2466905	3255	1.3194671055431806	276	9.121153746969477e-05	3	5.8890978924278045e-05	0.6456527382168588	1.7616621104428651	3.342921356778992e-05	0.3665020291856921
k141_11101	20650	208	10.072639225181598	0.7748184019370461	bin_30	2576927	705	0.2735816730547664	16	4.834522282411991e-06	1	1.8792208751379212e-05	3.8870870074888955	2.8321283121254277	6.635366297113926e-06	1.3724967865498132
k141_11101	20650	208	10.072639225181598	3.0992736077481844	bin_114	1499399	12074	8.052559725596723	154	0.00014235712235861284	4	0.00012918816171296734	0.9074934894197181	0.3848805489633941	0.000335657808795254	2.3578575011490894
k141_12895	9549	32	3.351136244632946	0.8377840611582364	bin_31	2518876	8820	3.5015618077269384	924	0.0002939683239261384	1	4.1575292965902074e-05	0.1414277987867433	0.23926010939161158	0.00017376608692363867	0.591104798649322
k141_12895	9549	32	3.351136244632946	0.8377840611582364	bin_34	2480254	23895	9.634093927476783	880	0.00029042525104195483	1	4.222269479044467e-05	0.14538231313896732	0.08696033767834109	0.0004855396830060945	1.6718232359759704
k141_12895	9549	32	3.351136244632946	0.8377840611582364	bin_11	3109857	18722	6.020212504947977	1182	0.0002462199824727856	1	3.367454119105141e-05	0.13676607744366734	0.13916187517793877	0.0002419810824480023	0.9827840941981556
k141_12895	9549	32	3.351136244632946	0.8377840611582364	bin_87	1754433	44359	25.2839521372432	440	0.0002932097734909884	1	5.9690514054842536e-05	0.2035761405363832	0.0331350121456757	0.0018014332933519832	6.143837812443688
k141_12896	38641	123	3.1831474340726174	3.1831474340726174	bin_34	2480254	23895	9.634093927476783	880	0.00029042525104195483	3	3.130233528277913e-05	0.1077810389092414	0.3304044426008933	9.473945034265258e-05	0.3262094118977503
k141_13763	20860	27	1.2943432406519655	1.2943432406519655	bin_60	2120195	4024	1.8979386330030965	158	7.114463906472445e-05	5	0.00011305242806125235	1.5890505531752286	0.68197317771225	0.00016577254319663788	2.330077787671744
k141_18441	5474	50	9.134088417975885	9.134088417975885	bin_87	1754433	44359	25.2839521372432	440	0.0002932097734909884	2	0.00020825163270357742	0.7102479232670527	0.3612603112201512	0.0005764586538726347	1.9660280999819804
k141_18494	10429	7	0.6712052929331671	0.6712052929331671	bin_40	2411799	955	0.39596997925614863	43	1.4884215605385584e-05	1	3.975723947933633e-05	2.671100750848496	1.6950913657496538	2.345433425162525e-05	1.575785709737954
k141_18832	8258	5	0.6054734802615646	0.6054734802615646	bin_84	1781834	2291	1.285753891776675	34	2.1840747269266154e-05	1	6.796070568431902e-05	3.111647456309882	0.47090931175398715	0.00014431803319239336	6.607742464722107
k141_19477	8104	1	0.12339585389930899	0.12339585389930899	bin_159	1006314	336	0.33389180712978256	12	2.4280287903126782e-05	1	0.0001226216209844134	5.050253995078137	0.36956837893103933	0.00033179684187021404	13.665276260067975
k141_21036	7447	191	25.64791191083658	17.09860794055772	bin_57	2183973	26411	12.093098220536609	643	0.00027218505725388353	2	0.00012297062400797127	0.4517905033018367	1.4139145840658691	8.697174878439653e-05	0.3195316806215144
k141_21036	7447	191	25.64791191083658	8.54930397027886	bin_62	2088067	7582	3.631109538151793	106	4.935852662510128e-05	1	6.430936426526568e-05	1.3029028348784049	2.354460497666614	2.7313842950008895e-05	0.5533763833241822
k141_21038	7623	177	23.219205037386857	23.219205037386857	bin_30	2576927	705	0.2735816730547664	16	4.834522282411991e-06	2	0.00010181270122418489	21.059516385844336	84.87120053812511	1.1996142458059076e-06	0.24813501225759335
k141_21902	19770	5	0.25290844714213456	0.25290844714213456	bin_112	1512983	1944	1.2848789444428654	23	2.0748608167054394e-05	1	3.343176323093314e-05	1.6112773908380826	0.1968344552893252	0.00016984710924615353	8.185951938494105
k141_22229	177520	155	0.8731410545290671	0.6985128436232537	bin_205	468215	497	1.0614781670813622	4	4.508941920744436e-05	4	7.751310609038225e-05	1.7190974612860985	0.6580567224890578	0.00011779091899128976	2.612384924484506
k141_22229	177520	155	0.8731410545290671	0.17462821090581343	bin_21	2802603	15148	5.404975303316238	523	0.00013449833416056433	1	2.009977186828073e-06	0.01494425339445884	0.032308789792003266	6.221146628418628e-05	0.4625445115916315
k141_22232	163519	171	1.0457500351641094	0.3485833450547031	bin_90	1716772	472	0.2749345865379911	13	8.873567275403368e-06	2	7.124414053422887e-06	0.8028804912733397	1.2678773865598576	5.619166434345532e-06	0.6332477412912948
k141_22232	163519	171	1.0457500351641094	0.17429167252735156	bin_205	468215	497	1.0614781670813622	4	4.508941920744436e-05	1	2.0070815769361783e-05	0.4451336061132508	0.16419713370702999	0.00012223609094890348	2.7109706245389393
k141_22232	163519	171	1.0457500351641094	0.17429167252735156	bin_87	1754433	44359	25.2839521372432	440	0.0002932097734909884	1	3.4857399978576887e-06	0.011888212170952142	0.006893371399426925	0.0005056654858531883	1.724586052615772
k141_22232	163519	171	1.0457500351641094	0.3485833450547031	bin_59	2134702	3625	1.6981292939248662	22	9.714579770831486e-06	2	5.729602803259151e-06	0.5897941998955603	0.20527491416688687	2.7911850926903956e-05	2.8731917988579077
k141_22807	22609	1288	56.96846388606307	3.3510861109448866	bin_34	2480254	23895	9.634093927476783	880	0.00029042525104195483	1	1.78329210736413e-05	0.061402791285063416	0.34783614693515374	5.12681652863578e-05	0.17652791932665524
k141_22807	22609	1288	56.96846388606307	3.3510861109448866	bin_11	3109857	18722	6.020212504947977	1182	0.0002462199824727856	1	1.4222574807968061e-05	0.05776369027863149	0.5566391731505572	2.555079752556546e-05	0.10377223354887356
k141_22807	22609	1288	56.96846388606307	10.05325833283466	bin_87	1754433	44359	25.2839521372432	440	0.0002932097734909884	3	7.563156955765731e-05	0.2579435489382887	0.3976141972688769	0.00019021345333530257	0.648728216220762
k141_22807	22609	1288	56.96846388606307	3.3510861109448866	bin_225	337546	4396	13.0234101426176	55	0.001175183793052002	1	0.00013103450736961223	0.11150128868720191	0.2573124914479078	0.0005092426979828136	0.4333302594824668
k141_22807	22609	1288	56.96846388606307	10.05325833283466	bin_33	2495716	4318	1.7301648104191343	226	7.354175648325528e-05	3	5.316731610237278e-05	0.7229541235458313	5.810578432929316	9.150090084158675e-06	0.12442033644167934
