mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_20	12460	574	46.06741573033708	32.004730928444715	bin_62	2547377	297044	116.60778911013172	31852	0.00987781982587887	132	0.004158748580026015	0.4210188739351696	0.274464777805001	0.015152212292174996	1.533963218531053
vMAG_180	30063	7641	254.16625087316635	121.9774192412774	bin_44	2894731	802159	277.1100319857009	87744	0.02111416912423368	1744	0.02004037997454297	0.9491436701405279	0.4401768437151764	0.04552801961456752	2.1562780589037227
vMAG_14	32108	5274	164.25812881524854	44.512953366566336	bin_59	2627986	280151	106.6029271084397	32208	0.009419537765754967	668	0.007916626593327017	0.8404474603953677	0.41755845335547326	0.018959325406322176	2.0127660059126695
vMAG_65	111866	57988	518.3701929093737	218.38359521735077	bin_65	2483275	1420736	572.1218954807663	136611	0.04490892761932696	11826	0.04257110754083574	0.9479430883251571	0.381708158597633	0.11152789528324146	2.4834237020445893
vMAG_164	71879	147401	2050.682396805743	1963.2772037642906	bin_23	3576970	8215273	2296.7128603259184	2344922	0.3684554218803819	82008	0.3189619636264888	0.8656731443893341	0.8548204861297676	0.37313327043740063	1.0126958331435205
vMAG_119	13538	13618	1005.9092923622396	802.178995204665	bin_13	4085890	3834265	938.4161100763848	697337	0.08365541770008586	5540	0.100154065842471	1.1972215141108333	0.8548222761642162	0.1171636124082836	1.4005502049888556
vMAG_37	25366	2109	83.14278956082946	13.203493310760653	bin_17	3677289	364562	99.13879491114243	13411	0.001994009012421498	101	0.0010827834847464063	0.5430183504694839	0.13318190242876035	0.008130109759661922	4.0772683117358755
vMAG_32	41962	12781	304.5851008054907	104.70541398693929	bin_55	2638906	1234886	467.9537656892667	66892	0.01930542435508901	1527	0.013789830787326436	0.71429824766796	0.22375162177125502	0.06163008195499923	3.1923712642324396
vMAG_115	16601	3347	201.6143605806879	86.14569890674456	bin_15	3813791	1255376	329.1674871538582	107657	0.014839325805352271	567	0.008955542923528678	0.6035006604072658	0.26170780003700267	0.03421962556050091	2.306009451464333
vMAG_96	110671	470199	4248.619782960306	3522.4756207653645	bin_9	4327035	20461537	4728.7662336912	4864700	0.5228718278632225	223919	0.46759160321262694	0.8942757637631679	0.7449037331701162	0.6277208481996445	1.2005252812432061
vMAG_196	25856	5912	228.6509900990099	99.68922968043604	bin_30	3242753	662387	204.26686830603504	66694	0.012727447078211792	1226	0.014622285569095027	1.148878127659004	0.48803425884554347	0.029961596556119623	2.3540931949668913
vMAG_93	24843	4572	184.0357444753049	74.76983155044705	bin_33	3190552	1603858	502.6898166837588	140085	0.027596753041220192	880	0.011102296093237343	0.4023044333025076	0.14873949912831555	0.07464255398399279	2.704758558824008
vMAG_188	17951	856	47.68536571778731	32.17928525710822	bin_90	1724584	117610	68.19615629044453	15693	0.010592937636719963	193	0.006234251371738738	0.5885290356216177	0.4718636211703488	0.0132119771307568	1.2472439264588935
vMAG_176	103155	24663	239.08681110949541	218.20056861655897	bin_26	3478540	1042607	299.72545953187256	209375	0.03475036143287684	10071	0.028066309551568185	0.8076551838397581	0.7280014482498631	0.03855254631572563	1.1094142543004344
vMAG_147	20764	7306	351.85898670776345	109.46491250658316	bin_21	3600536	1926286	534.9997889203163	124202	0.019212109340084	1045	0.013977777166050207	0.7275503651692777	0.204607393822518	0.06831511268930443	3.55583613855311
vMAG_60	106630	43169	404.8485416862046	166.35055601511937	bin_24	3573314	1711105	478.8566020226602	136369	0.0214684947974487	6509	0.017082981927309886	0.7957233186809173	0.3473911716210345	0.04917506063149336	2.2905686260471922
