	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin_1	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	23.43	0.0	0.0
bin_2	k__Bacteria (UID2982)	88	230	148	11	213	5	1	0	0	93.24	3.6	0.0
bin_3	f__Enterobacteriaceae (UID5103)	157	1005	324	134	846	25	0	0	0	89.43	3.23	32.0
bin_4	o__Clostridiales (UID1212)	172	263	149	2	257	4	0	0	0	98.99	1.2	0.0
bin_5	k__Bacteria (UID2569)	434	278	186	20	253	5	0	0	0	92.54	2.06	80.0
bin_6	k__Bacteria (UID2565)	2921	142	87	9	132	1	0	0	0	90.74	1.15	0.0
bin_7	k__Bacteria (UID203)	5449	104	58	69	28	7	0	0	0	49.29	7.76	42.86
bin_8	o__Bacteroidales (UID2657)	160	492	269	29	452	11	0	0	0	94.36	2.13	9.09
bin_9	o__Clostridiales (UID1120)	304	250	143	62	166	22	0	0	0	75.0	7.38	13.64
bin_10	k__Bacteria (UID203)	5449	103	57	49	51	3	0	0	0	79.82	5.26	0.0
bin_11	o__Clostridiales (UID1212)	172	263	149	20	232	11	0	0	0	92.5	6.04	36.36
bin_12	c__Clostridia (UID1118)	387	223	124	48	172	3	0	0	0	93.21	1.88	33.33
bin_13	o__Clostridiales (UID1212)	172	263	149	47	194	15	2	5	0	88.31	5.77	9.8
bin_14	c__Clostridia (UID1118)	387	223	124	42	177	4	0	0	0	85.84	1.96	50.0
bin_15	o__Clostridiales (UID1212)	172	263	149	4	254	5	0	0	0	98.3	2.68	0.0
bin_16	o__Clostridiales (UID1212)	172	263	149	4	257	2	0	0	0	97.32	1.34	0.0
bin_17	k__Bacteria (UID2982)	88	230	148	39	180	11	0	0	0	80.57	4.35	9.09
bin_18	o__Clostridiales (UID1212)	172	263	149	17	242	4	0	0	0	91.61	1.7	0.0
bin_19	c__Clostridia (UID1118)	387	223	124	54	163	6	0	0	0	87.92	3.49	33.33
bin_20	o__Clostridiales (UID1212)	172	263	149	43	216	4	0	0	0	85.3	1.59	25.0
