contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
vMAG_20|N=14|L=94373	96973	No	NA	97	36	0	Low-quality	Genome-fragment	35.24	AAI-based (medium-confidence)	0.0	1.0	
vMAG_73|N=2|L=11757	11957	No	NA	10	4	0	Low-quality	Genome-fragment	34.15	AAI-based (medium-confidence)	0.0	1.0	
vMAG_14|N=2|L=12513	12713	No	NA	15	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_65|N=2|L=17047	17247	No	NA	15	3	1	Low-quality	Genome-fragment	12.16	AAI-based (medium-confidence)	0.0	1.0	
vMAG_119|N=3|L=16239	16639	No	NA	18	6	0	Low-quality	Genome-fragment	36.86	AAI-based (high-confidence)	0.0	1.0	
vMAG_37|N=14|L=174657	177257	No	NA	178	5	14	Medium-quality	Genome-fragment	56.01	HMM-based (lower-bound)	0.0	1.0	
vMAG_32|N=2|L=13560	13760	No	NA	11	0	2	Low-quality	Genome-fragment	8.72	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
vMAG_29|N=2|L=16365	16565	No	NA	25	11	0	Low-quality	Genome-fragment	35.1	AAI-based (high-confidence)	0.0	1.0	
vMAG_115|N=2|L=19558	19758	No	NA	24	15	0	Low-quality	Genome-fragment	42.52	AAI-based (medium-confidence)	0.0	1.0	
vMAG_96|N=2|L=43865	44065	Yes	31818	59	17	8	Medium-quality	Genome-fragment	77.92	AAI-based (high-confidence)	27.79	1.0	
vMAG_93|N=4|L=40278	40878	No	NA	60	7	0	Low-quality	Genome-fragment	25.02	AAI-based (medium-confidence)	0.0	1.0	
vMAG_147|N=2|L=19100	19300	No	NA	23	4	0	Medium-quality	Genome-fragment	60.19	AAI-based (high-confidence)	0.0	1.0	
vMAG_60|N=5|L=49239	50039	No	NA	58	10	1	Medium-quality	Genome-fragment	77.24	HMM-based (lower-bound)	0.0	1.0	
vMAG_87|N=8|L=47250	48650	No	NA	33	1	1	Low-quality	Genome-fragment	22.55	HMM-based (lower-bound)	0.0	1.0	
vMAG_99|N=2|L=12951	13151	No	NA	12	5	1	Low-quality	Genome-fragment	14.61	AAI-based (high-confidence)	0.0	1.0	
vMAG_76|N=4|L=53624	54224	No	NA	59	34	0	Medium-quality	Genome-fragment	89.43	AAI-based (medium-confidence)	0.0	1.0	
vMAG_21|N=2|L=11447	11647	Yes	6303	10	2	1	Low-quality	Genome-fragment	4.63	HMM-based (lower-bound)	45.88	1.0	
