mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_173	6486	139	21.43077397471477	11.752359921617776	bin_104	1156413	35769	30.930990917604696	1434	0.0021531089719712985	17	0.002279301130051409	1.0586092760389059	0.37995420039804795	0.005998883885646127	2.786149685751295
k141_300	7884	505	64.05377980720446	5.0836333180321	bin_145	282527	6785	24.015403837509336	400	0.010184839428770968	5	0.002244726485168822	0.22039880951168803	0.21168219166450333	0.010604229234013721	1.0411778514699042
k141_300	7884	505	64.05377980720446	2.03345332721284	bin_154	201736	3821	18.94059562993219	12	0.0006074008789247832	2	0.001257476780892437	2.0702584150329413	0.1073595237944542	0.011712764144706404	19.283416522939934
k141_300	7884	505	64.05377980720446	25.4181665901605	bin_81	1762922	59393	33.690089521827964	6586	0.004257334256980203	25	0.0017987064648217327	0.4224959461129051	0.7544701409502623	0.002384065806177889	0.5599902808357232
k141_1612	20072	1614	80.41052212036668	34.12544109498488	bin_144	288901	19458	67.35179179026726	536	0.013510028525630761	87	0.016123246278394118	1.193427996677109	0.5066745841187289	0.03182169933871394	2.3554131864594443
k141_1613	6338	403	63.584727043231304	27.59337211310038	bin_144	288901	19458	67.35179179026726	536	0.013510028525630761	23	0.012842817415428179	0.9506136416413353	0.40969024549526223	0.03134762801077405	2.3203228587787517
k141_3620	11070	2734	246.97380307136405	181.98069699995244	bin_9	4258818	4078294	957.6117129212847	491259	0.05428699260176	476	0.010096486080793601	0.18598352196187545	0.19003599741361057	0.053129334537702064	0.9786752220269352
k141_3623	6661	1504	225.79192313466447	154.82874729234135	bin_9	4258818	4078294	957.6117129212847	491259	0.05428699260176	264	0.009306264939084046	0.17142715949202045	0.16168217786311498	0.05755900286649412	1.060272454006377
k141_4520	5749	5012	871.8037919638198	607.4732364521893	bin_9	4258818	4078294	957.6117129212847	491259	0.05428699260176	1372	0.05611246843979927	1.033626394658305	0.6343627884406666	0.08845485495410266	1.629393169796533
k141_4822	7621	3949	518.1734680488125	475.4797172953551	bin_21	3468834	3884744	1119.8990784799735	838271	0.1404412336122439	1626	0.06164250135915261	0.4389202499413144	0.42457371957187284	0.1451868038872284	1.033790434282904
k141_4944	8913	1057	118.59082239425558	78.15441017386472	bin_59	2285827	289342	126.58088298020805	29858	0.011467400809230381	230	0.011333323931799104	0.9883079976306962	0.6174266471666563	0.018355741501937483	1.6006889274474922
k141_5266	5572	1482	265.9727207465901	172.7490918726064	bin_15	3808041	3363012	883.1343990256407	648353	0.08956042952683539	454	0.0214278729648691	0.23925603168806342	0.19560906252004215	0.10954437738626549	1.2231336759438187
k141_6409	14423	2916	202.1770782777508	154.22236331623498	bin_14	3935224	951208	241.71635464715604	126891	0.01642903075379045	804	0.014217578832212844	0.8653936464835341	0.6380303208748954	0.022283547297120725	1.35635191333363
k141_7958	5046	2675	530.1228695996829	430.2600444646725	bin_8	4351256	11709989	2691.174456294918	1816874	0.1921856846118829	810	0.03693406132757525	0.1921790449801879	0.15987816897498136	0.23101378733800046	1.2020343128289213
k141_9855	6660	951	142.7927927927928	110.94176883650567	bin_137	342111	48789	142.61160851302648	7467	0.1303601198548421	310	0.1387581093708069	1.064421462064595	0.7779294406203404	0.1783685024957504	1.368275072885529
k141_9856	8435	672	79.66804979253112	43.794132634490786	bin_139	330161	30608	92.70628572120874	2200	0.041497833195232765	94	0.03463830302590524	0.8347014858087688	0.4723965834009446	0.07332462647492546	1.7669507255947265
k141_11807	6319	186	29.43503718942871	14.210017953517308	bin_172	118288	9367	79.18808332206142	1507	0.224804359638972	14	0.01873005236045003	0.08331712245496416	0.17944641867040198	0.10437685242887146	0.46430083738810524
k141_12342	8531	746	87.44578595709764	58.89943434300378	bin_113	810070	129186	159.47510708951077	12265	0.037806518196415624	163	0.023837626131820926	0.6305163043043973	0.3693330916526332	0.06454235125576235	1.7071752262518982
k141_12652	5223	5180	991.7671836109515	753.9961997552722	bin_17	3649413	4139583	1134.314751440848	628626	0.09459098447047039	1668	0.08763447887090868	0.9264569912396524	0.66471514965094	0.1318376434130137	1.393765422265703
k141_13497	6181	707	114.3827859569649	68.72579156237806	bin_43	2613696	1006945	385.2571224809618	144510	0.042465317944085805	143	0.008851608978777408	0.20844325221896007	0.17838941203682554	0.04961958715885077	1.1684732285340478
k141_13498	5286	517	97.80552402572835	63.72178080464119	bin_43	2613696	1006945	385.2571224809618	144510	0.042465317944085805	129	0.009337002568625909	0.21987360558373695	0.16540065604572987	0.05645081943353611	1.3293393801469955
k141_13583	9033	3128	346.2858408059338	212.85459939447304	bin_26	3227053	1083577	335.77911487663823	127256	0.024546595841028473	737	0.025354014753847267	1.0328933151483772	0.6339125632416823	0.03999607552213936	1.6293939811926104
k141_16313	6297	2352	373.5111958075274	351.19448913978204	bin_3	5199291	6657100	1280.3861141836455	1290669	0.09562406105450366	897	0.027430955078280264	0.2868624776628678	0.2742879552108375	0.10000787332128695	1.0458442385571203
k141_19181	5676	5354	943.2699083861875	104.04274739701663	bin_28	3191684	1089654	341.40409890202164	181264	0.03566856849541968	272	0.015014353293397821	0.4209407309218441	0.30474955553148025	0.04926784312191345	1.3812677435664427
k141_19181	5676	5354	943.2699083861875	766.5502418515489	bin_3	5199291	6657100	1280.3861141836455	1290669	0.09562406105450366	2004	0.06798069150525227	0.7109161727246109	0.5986867815575222	0.11354967839509689	1.1874592769112369
k141_19339	7832	454	57.967313585291116	15.80926734144303	bin_77	1927671	240293	124.6545702041479	23445	0.012672952408415544	48	0.003179330268451536	0.2508752630003001	0.12682461072668297	0.025068716948820315	1.9781276012820261
k141_22453	6006	597	99.4005994005994	43.21765191330409	bin_147	240263	33365	138.8686564306614	724	0.02573672226317012	30	0.0213227566092155	0.8284954234334994	0.3112124292416059	0.06851511895324026	2.6621540323838
k141_25775	5541	19997	3608.915358238585	3230.876054191529	bin_2	5872183	26675438	4542.678251001374	5471826	0.3178034727938082	8196	0.2521298192584854	0.7933513659936243	0.7112271386333217	0.3544997168456936	1.1154683544811168
k141_25969	8551	1148	134.25330370716875	77.0519933727914	bin_137	342111	48789	142.61160851302648	7467	0.1303601198548421	295	0.1034263371472245	0.7933893990155213	0.5402925762929971	0.19142653755645364	1.4684440131660654
k141_25970	5974	660	110.47874121191832	89.12225592188207	bin_137	342111	48789	142.61160851302648	7467	0.1303601198548421	217	0.10806329256886812	0.8289597515651119	0.6249298836969603	0.17292066740285691	1.3264844155973974
k141_26010	5152	527	102.29037267080746	22.90878137939959	bin_178	107002	14262	133.287228276107	546	0.09955387480025062	43	0.08194671862469775	0.8231394186225232	0.17187529274705615	0.47678009628350915	4.789166642083417
k141_26079	5026	2369	471.3489852765619	81.55305023846672	bin_16	3743154	1867670	498.9562278228467	407079	0.05823362516007075	118	0.006272227870618561	0.10770800982040288	0.1634473039735701	0.03837461810708605	0.6589769742413101
k141_27615	5848	1215	207.76333789329686	13.296853625171	bin_146	241835	23240	96.09857961006472	339	0.011779939216940438	8	0.00565670418296587	0.48019807902158823	0.13836680707587043	0.04088194490073142	3.4704716338383235
k141_27615	5848	1215	207.76333789329686	28.255813953488374	bin_101	1235673	170135	137.68610303858708	8338	0.010966343722313095	17	0.002352545328890448	0.214524128411528	0.20521906953506824	0.011463580525046872	1.0453420771156439
