mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_3849	12393	5	0.40345356249495684	0.40345356249495684	bin_31	2518876	1590	0.6312339313249243	209	6.64928351737694e-05	1	3.219280262383243e-05	0.4841544587428284	0.6391506262157527	5.0368099949205673e-05	0.7574966508432966
k141_3850	7851	6	0.7642338555598013	0.7642338555598013	bin_31	2518876	1590	0.6312339313249243	209	6.64928351737694e-05	2	0.00010145045091941887	1.5257350758813757	1.2106983126773898	8.379498827834907e-05	1.2602107890175385
k141_5120	6660	6	0.9009009009009009	0.6756756756756757	bin_15	2975678	2685	0.9023153714884473	619	0.0001415185790251518	3	0.0001517169819955455	1.072064057176416	0.7488242991594947	0.00020260691615621673	1.4316630194556137
k141_5120	6660	6	0.9009009009009009	0.22522522522522523	bin_101	1586122	4199	2.6473373422725364	45	3.651398568676695e-05	1	9.466494390100518e-05	2.5925667143839832	0.08507613352814591	0.0011127085820101003	30.473490118427623
k141_11101	20650	51	2.469733656174334	0.7056381874783811	bin_16	2937357	2420	0.8238698939216446	182	4.2990405163623524e-05	2	3.2972600961384926e-05	0.7669758132283155	0.8564922601061715	3.849725502165964e-05	0.8954848151613659
k141_11101	20650	51	2.469733656174334	0.35281909373919057	bin_35	2466905	644	0.26105585744080134	81	2.6768603387845204e-05	1	1.963032630809268e-05	0.7333339742710001	1.3515080534793134	1.4524757183323103e-05	0.5426042208058695
k141_11101	20650	51	2.469733656174334	1.4112763749567623	bin_114	1499399	2245	1.4972665714729703	46	4.2522257327897343e-05	4	0.00012918816171296734	3.0381303776225344	0.942568545805699	0.0001370596995707495	3.223246087663119
k141_13763	20860	3	0.14381591562799617	0.14381591562799617	bin_60	2120195	746	0.3518544284841724	40	1.801130102904416e-05	1	2.261048561225047e-05	1.2553499370084307	0.40873697752667476	5.53179351402697e-05	3.0712903554866275
k141_21036	7447	34	4.565596884651537	3.043731256434358	bin_57	2183973	4595	2.103963739478464	146	6.180251688812908e-05	2	0.00012297062400797127	1.9897348878293217	1.4466652629616354	8.500281796787179e-05	1.3753941141545805
k141_21036	7447	34	4.565596884651537	1.521865628217179	bin_62	2088067	1307	0.6259377692382476	15	6.984697163929427e-06	1	6.430936426526568e-05	9.207180033140727	2.4313369523447284	2.6450206419660234e-05	3.7868794879547747
k141_22232	163519	27	0.16511842660485937	0.16511842660485937	bin_90	1716772	76	0.04426912834086297	0	0.0	2	7.124414053422887e-06	1	3.7298775194641793	1.9100932983038957e-06	1
k141_22807	22609	239	10.571011544075368	1.321376443009421	bin_225	337546	738	2.1863686727142375	7	0.00014956884638843662	1	0.00013103450736961223	0.8760815539708722	0.6043703696911356	0.0002168116008674906	1.4495772756341365
k141_22807	22609	239	10.571011544075368	2.642752886018842	bin_33	2495716	728	0.29169985687474054	49	1.5944894104776587e-05	2	3.544487740158186e-05	2.2229609785218765	9.059836073740936	3.912308910788732e-06	0.24536437088138
k141_22807	22609	239	10.571011544075368	1.321376443009421	bin_51	2310791	37	0.0160118331774704	0	0.0	1	1.9140707153776836e-05	1	82.52499438157251	2.3193830302217962e-07	1
k141_22807	22609	239	10.571011544075368	2.642752886018842	bin_196	592001	53	0.08952687579919628	0	0.0	2	0.0001494260105120874	1	29.51910096747246	5.062010888364864e-06	1
k141_22807	22609	239	10.571011544075368	2.642752886018842	bin_213	401648	70	0.1742819583316735	3	3.8993642811821287e-05	2	0.00022024346604281923	5.648189042139206	15.163663016624227	1.452442367001706e-05	0.3724818360805686
k141_29242	9854	2	0.20296326364927947	0.20296326364927947	bin_111	1519799	171	0.11251487861223754	1	8.825935738055006e-07	2	0.00013354612264469148	151.3110072497779	1.8038793282509433	7.403273631068156e-05	83.88089207524226
k141_30812	5904	59	9.993224932249323	4.996612466124661	bin_57	2183973	4595	2.103963739478464	146	6.180251688812908e-05	2	0.0001551087799775342	2.5097485958104606	2.3748567393862188	6.53128996815286e-05	1.0567999973165139
k141_30812	5904	59	9.993224932249323	4.996612466124661	bin_101	1586122	4199	2.6473373422725364	45	3.651398568676695e-05	2	0.00021357334904495074	5.849083440988255	1.8874105639425054	0.00011315680495017968	3.0989989950943344
k141_36834	8588	1	0.11644154634373545	0.11644154634373545	bin_58	2157948	222	0.102875509511814	19	8.250221696640191e-06	1	5.395938472277156e-05	6.540355727015906	1.1318684776998704	4.767283989781681e-05	5.7783707699916755
k141_38156	6619	122	18.431787279045174	18.431787279045174	bin_101	1586122	4199	2.6473373422725364	45	3.651398568676695e-05	3	0.00028695144662352194	7.8586722656112595	6.962387068972062	4.121452079306586e-05	1.128732457382828
k141_38158	10425	183	17.553956834532375	1.7553956834532376	bin_15	2975678	2685	0.9023153714884473	619	0.0001415185790251518	1	3.223576656845509e-05	0.22778469647243907	1.9454347547660198	1.6569955116450116e-05	0.11708678274324089
k141_38158	10425	183	17.553956834532375	1.7553956834532376	bin_188	625950	701	1.1198977554117742	6	3.0958686266968116e-05	1	0.0001532442869093175	4.94996091203082	1.5674606676997918	9.776595360073663e-05	3.15794904078503
k141_38158	10425	183	17.553956834532375	12.287769784172662	bin_101	1586122	4199	2.6473373422725364	45	3.651398568676695e-05	7	0.00042613702363856185	11.67051516353632	4.641557986570972	9.180904878738306e-05	2.514352981757771
k141_38158	10425	183	17.553956834532375	1.7553956834532376	bin_151	1094850	448	0.4091884733068457	5	8.417187572881297e-06	1	8.761315375703273e-05	10.408839413215283	4.289944116135663	2.042291260333567e-05	2.426334500271173
