contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_530528	25299	No	NA	27	0	14	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_413520	37163	Yes	26784	47	7	5	Medium-quality	Genome-fragment	74.47	AAI-based (high-confidence)	27.93	1.0	low-confidence Provirus
k141_762494	17285	No	NA	26	2	0	Low-quality	Genome-fragment	10.84	AAI-based (medium-confidence)	0.0	1.0	
k141_762493	74262	No	NA	118	15	1	Low-quality	Genome-fragment	46.48	AAI-based (high-confidence)	0.0	1.0	
k141_512671	26947	No	NA	33	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_696506	14055	Yes	10957	13	2	2	Low-quality	Genome-fragment	11.51	AAI-based (medium-confidence)	22.04	1.0	
k141_377044	11579	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_865157	6402	No	NA	7	2	0	Low-quality	Genome-fragment	14.69	AAI-based (medium-confidence)	0.0	1.0	
k141_865156	15457	Yes	8259	17	6	2	Low-quality	Genome-fragment	5.63	AAI-based (medium-confidence)	46.57	1.0	
k141_848051	16600	No	NA	37	9	0	Medium-quality	Genome-fragment	58.96	AAI-based (medium-confidence)	0.0	1.0	
k141_848052	9059	No	NA	12	10	0	Low-quality	Genome-fragment	18.56	HMM-based (lower-bound)	0.0	1.0	
k141_1055023	23959	No	NA	38	5	1	Low-quality	Genome-fragment	15.55	AAI-based (medium-confidence)	0.0	1.0	
k141_497809	12852	No	NA	13	2	0	Low-quality	Genome-fragment	9.17	AAI-based (medium-confidence)	0.0	1.0	
k141_497810	95632	No	NA	142	19	2	Medium-quality	Genome-fragment	59.26	AAI-based (medium-confidence)	0.0	1.0	
k141_1055022	13042	No	NA	16	1	0	Low-quality	Genome-fragment	8.46	AAI-based (high-confidence)	0.0	1.0	
k141_438780	8499	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_31477	5902	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_401729	6506	No	NA	10	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_510603	5513	Yes	4861	8	1	1	Low-quality	Genome-fragment	7.9	HMM-based (lower-bound)	11.83	1.0	
k141_510605	5497	No	NA	9	4	0	Low-quality	Genome-fragment	16.14	AAI-based (high-confidence)	0.0	1.0	
k141_373451	9781	No	NA	11	1	0	Low-quality	Genome-fragment	10.45	AAI-based (high-confidence)	0.0	1.0	
k141_373449	14159	No	NA	10	0	0	Low-quality	Genome-fragment	15.62	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_1044185	23529	No	NA	39	5	0	Low-quality	Genome-fragment	24.69	AAI-based (high-confidence)	0.0	1.0	
k141_373450	19792	No	NA	25	1	0	Low-quality	Genome-fragment	21.74	AAI-based (high-confidence)	0.0	1.0	
k141_1044186	10869	No	NA	11	1	0	Low-quality	Genome-fragment	11.38	AAI-based (medium-confidence)	0.0	1.0	
k141_846796	5903	No	NA	8	3	0	Low-quality	Genome-fragment	21.19	HMM-based (lower-bound)	0.0	1.0	
k141_846797	10032	No	NA	13	4	0	Low-quality	Genome-fragment	33.2	HMM-based (lower-bound)	0.0	1.0	
k141_283432	5928	No	NA	16	3	0	Low-quality	Genome-fragment	4.7	HMM-based (lower-bound)	0.0	1.0	
k141_283431	13128	No	NA	20	2	0	Low-quality	Genome-fragment	20.15	AAI-based (medium-confidence)	0.0	1.0	
