contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
vMAG_19|N=2|L=62462	62662	Yes	26784	73	7	19	Medium-quality	Genome-fragment	74.47	AAI-based (high-confidence)	57.26	1.0	contig >1.5x longer than expected genome length; low-confidence Provirus
vMAG_72|N=2|L=91547	91747	No	NA	144	17	1	Medium-quality	Genome-fragment	56.57	AAI-based (high-confidence)	0.0	1.0	
vMAG_37|N=3|L=52581	52981	No	NA	57	2	8	Medium-quality	Genome-fragment	50.69	HMM-based (lower-bound)	0.0	1.0	
vMAG_299|N=2|L=21859	22059	No	NA	24	8	2	Low-quality	Genome-fragment	23.55	HMM-based (lower-bound)	0.0	1.0	
vMAG_151|N=2|L=25659	25859	No	NA	47	18	0	High-quality	High-quality	94.24	AAI-based (medium-confidence)	0.0	1.0	
vMAG_168|N=4|L=145485	146085	No	NA	208	27	3	High-quality	High-quality	94.05	AAI-based (medium-confidence)	0.0	1.0	
vMAG_14|N=3|L=20907	21307	No	NA	22	0	11	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_278|N=2|L=11010	11210	No	NA	17	5	1	Low-quality	Genome-fragment	32.34	AAI-based (high-confidence)	0.0	1.0	
vMAG_174|N=5|L=78130	78930	No	NA	95	8	0	Medium-quality	Genome-fragment	84.63	AAI-based (high-confidence)	0.0	1.0	
vMAG_120|N=2|L=15935	16135	No	NA	20	6	0	Medium-quality	Genome-fragment	54.31	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
vMAG_186|N=2|L=19056	19256	No	NA	36	5	0	Low-quality	Genome-fragment	29.71	AAI-based (medium-confidence)	0.0	1.0	
vMAG_111|N=2|L=20147	20347	No	NA	32	14	0	Medium-quality	Genome-fragment	54.57	AAI-based (high-confidence)	0.0	1.0	
vMAG_227|N=3|L=51525	51925	No	NA	88	23	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
vMAG_293|N=2|L=13125	13325	No	NA	15	2	1	Low-quality	Genome-fragment	31.49	AAI-based (medium-confidence)	0.0	1.0	
vMAG_6|N=3|L=46245	46645	No	NA	68	4	4	Low-quality	Genome-fragment	42.05	AAI-based (high-confidence)	0.0	1.0	
vMAG_254|N=2|L=20777	20977	No	NA	39	18	0	Medium-quality	Genome-fragment	67.13	AAI-based (high-confidence)	0.0	1.0	
vMAG_282|N=2|L=26619	26819	No	NA	44	1	0	Low-quality	Genome-fragment	10.45	HMM-based (lower-bound)	0.0	1.0	
vMAG_283|N=4|L=143664	144264	No	NA	204	2	5	Low-quality	Genome-fragment	48.03	HMM-based (lower-bound)	0.0	1.0	
vMAG_279|N=2|L=34192	34392	No	NA	69	16	0	Medium-quality	Genome-fragment	55.42	AAI-based (high-confidence)	0.0	1.0	
vMAG_50|N=5|L=54800	55600	No	NA	67	11	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
vMAG_242|N=2|L=11780	11980	No	NA	22	1	0	Low-quality	Genome-fragment	6.94	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
vMAG_177|N=2|L=29066	29266	No	NA	38	2	0	Medium-quality	Genome-fragment	53.69	AAI-based (medium-confidence)	0.0	1.0	
vMAG_124|N=2|L=26587	26787	No	NA	43	13	1	Medium-quality	Genome-fragment	67.29	AAI-based (high-confidence)	0.0	1.0	
vMAG_51|N=2|L=20382	20582	No	NA	37	1	5	Low-quality	Genome-fragment	19.99	HMM-based (lower-bound)	0.0	1.0	
vMAG_297|N=2|L=13535	13735	No	NA	24	6	0	Low-quality	Genome-fragment	29.8	AAI-based (high-confidence)	0.0	1.0	
vMAG_105|N=2|L=80187	80387	Yes	12958	69	11	16	Low-quality	Genome-fragment	21.08	AAI-based (medium-confidence)	83.88	1.0	
vMAG_144|N=3|L=53605	54005	No	NA	91	20	8	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
vMAG_88|N=2|L=19564	19764	No	NA	35	6	1	Low-quality	Genome-fragment	45.4	AAI-based (medium-confidence)	0.0	1.0	
vMAG_76|N=2|L=29910	30110	No	NA	42	13	0	Low-quality	Genome-fragment	29.97	AAI-based (medium-confidence)	0.0	1.0	
vMAG_230|N=2|L=89391	89591	No	NA	89	10	0	High-quality	High-quality	92.66	AAI-based (medium-confidence)	0.0	1.0	
vMAG_35|N=2|L=72864	73064	No	NA	109	15	1	High-quality	High-quality	99.13	AAI-based (high-confidence)	0.0	1.0	
vMAG_225|N=2|L=38737	38937	No	NA	68	18	1	High-quality	High-quality	99.86	AAI-based (high-confidence)	0.0	1.0	
vMAG_130|N=2|L=29439	29639	No	NA	29	1	2	Low-quality	Genome-fragment	19.28	AAI-based (medium-confidence)	0.0	1.0	
vMAG_101|N=4|L=55056	55656	No	NA	105	21	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
vMAG_271|N=2|L=50664	50864	No	NA	67	29	1	Medium-quality	Genome-fragment	84.08	AAI-based (medium-confidence)	0.0	1.0	
vMAG_210|N=2|L=25844	26044	No	NA	33	9	0	Medium-quality	Genome-fragment	62.52	AAI-based (medium-confidence)	0.0	1.0	
vMAG_212|N=2|L=43452	43652	No	NA	45	9	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
vMAG_103|N=2|L=50877	51077	No	NA	50	16	6	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
vMAG_5|N=6|L=88288	89288	Yes	67646	100	25	18	High-quality	High-quality	100.0	AAI-based (medium-confidence)	24.24	1.0	contig >1.5x longer than expected genome length
vMAG_231|N=2|L=94335	94535	No	NA	162	23	1	Medium-quality	Genome-fragment	55.78	AAI-based (medium-confidence)	0.0	1.0	
vMAG_25|N=2|L=25584	25784	No	NA	10	2	0	Medium-quality	Genome-fragment	66.93	AAI-based (medium-confidence)	0.0	1.0	
vMAG_82|N=2|L=15563	15763	No	NA	28	1	0	Low-quality	Genome-fragment	4.25	AAI-based (medium-confidence)	0.0	1.0	
vMAG_97|N=2|L=80581	80781	Yes	48657	100	17	22	High-quality	High-quality	94.69	AAI-based (high-confidence)	39.77	1.0	contig >1.5x longer than expected genome length
vMAG_228|N=3|L=25831	26231	No	NA	29	2	4	Medium-quality	Genome-fragment	63.38	AAI-based (medium-confidence)	0.0	1.0	
vMAG_45|N=2|L=16838	17038	No	NA	17	0	1	Low-quality	Genome-fragment	4.66	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
vMAG_191|N=3|L=25434	25834	No	NA	48	15	0	Medium-quality	Genome-fragment	76.28	AAI-based (medium-confidence)	0.0	1.0	
vMAG_140|N=6|L=140799	141799	No	NA	186	53	21	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
vMAG_274|N=2|L=11035	11235	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_92|N=2|L=67668	67868	No	NA	100	10	4	Low-quality	Genome-fragment	18.73	AAI-based (medium-confidence)	0.0	1.0	
vMAG_8|N=2|L=35035	35235	No	NA	64	8	0	High-quality	High-quality	97.64	AAI-based (medium-confidence)	0.0	1.0	
vMAG_93|N=3|L=96274	96674	No	NA	87	1	38	Medium-quality	Genome-fragment	52.43	HMM-based (lower-bound)	0.0	1.0	
vMAG_243|N=2|L=52890	53090	No	NA	72	14	0	Medium-quality	Genome-fragment	53.49	AAI-based (medium-confidence)	0.0	1.0	
vMAG_18|N=3|L=50535	50935	No	NA	42	6	0	Low-quality	Genome-fragment	14.27	AAI-based (high-confidence)	0.0	1.0	
vMAG_199|N=2|L=43288	43488	Yes	36100	51	7	4	Medium-quality	Genome-fragment	86.26	AAI-based (high-confidence)	16.99	1.0	
vMAG_70|N=5|L=135870	136670	No	NA	119	2	40	Medium-quality	Genome-fragment	84.74	HMM-based (lower-bound)	0.0	1.0	
vMAG_83|N=3|L=34284	34684	No	NA	65	13	1	Low-quality	Genome-fragment	18.21	AAI-based (high-confidence)	0.0	1.0	
vMAG_106|N=2|L=15225	15425	No	NA	31	5	0	Low-quality	Genome-fragment	11.15	AAI-based (medium-confidence)	0.0	1.0	
vMAG_309|N=3|L=23003	23403	No	NA	34	15	0	Low-quality	Genome-fragment	49.37	AAI-based (high-confidence)	0.0	1.0	
vMAG_20|N=3|L=59389	59789	Yes	37016	62	14	10	Medium-quality	Genome-fragment	73.45	AAI-based (high-confidence)	38.09	1.0	>1 viral region detected
vMAG_12|N=4|L=59435	60035	No	NA	72	23	0	Medium-quality	Genome-fragment	82.73	AAI-based (medium-confidence)	0.0	1.0	
vMAG_74|N=2|L=36709	36909	No	NA	49	18	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
vMAG_201|N=2|L=24678	24878	Yes	13627	29	10	8	Low-quality	Genome-fragment	35.18	AAI-based (high-confidence)	45.22	1.0	low-confidence Provirus
vMAG_32|N=3|L=40035	40435	No	NA	53	4	0	Medium-quality	Genome-fragment	61.03	HMM-based (lower-bound)	0.0	1.0	
vMAG_235|N=2|L=30842	31042	No	NA	51	15	0	Medium-quality	Genome-fragment	57.76	AAI-based (medium-confidence)	0.0	1.0	
vMAG_180|N=2|L=27602	27802	No	NA	50	15	0	Medium-quality	Genome-fragment	53.8	HMM-based (lower-bound)	0.0	1.0	
vMAG_306|N=2|L=35955	36155	Yes	30425	46	6	3	Low-quality	Genome-fragment	19.71	AAI-based (medium-confidence)	15.85	1.0	
vMAG_241|N=2|L=32349	32549	No	NA	51	17	0	High-quality	High-quality	94.08	AAI-based (medium-confidence)	0.0	1.0	
vMAG_65|N=2|L=156985	157185	No	NA	239	38	6	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
vMAG_61|N=2|L=40025	40225	No	NA	68	8	1	Medium-quality	Genome-fragment	74.84	AAI-based (medium-confidence)	0.0	1.0	
