contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_150351	6918	No	NA	9	6	0	Medium-quality	Genome-fragment	50.81	AAI-based (high-confidence)	0.0	1.0	
k141_150352	5542	No	NA	10	1	0	Low-quality	Genome-fragment	41.45	AAI-based (high-confidence)	0.0	1.0	
k141_240740	17438	No	NA	26	16	0	Low-quality	Genome-fragment	48.11	AAI-based (high-confidence)	0.0	1.0	
k141_240741	5575	No	NA	9	4	0	Low-quality	Genome-fragment	15.37	AAI-based (high-confidence)	0.0	1.0	
k141_240742	7050	No	NA	13	3	0	Low-quality	Genome-fragment	19.44	AAI-based (high-confidence)	0.0	1.0	
k141_428950	5694	No	NA	4	4	0	Low-quality	Genome-fragment	16.39	AAI-based (high-confidence)	0.0	1.0	
k141_399716	5022	No	NA	9	0	1	Low-quality	Genome-fragment	14.25	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k141_428952	5984	No	NA	11	0	0	Low-quality	Genome-fragment	16.98	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k141_162658	5998	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_30396	26110	No	NA	23	4	11	Medium-quality	Genome-fragment	56.83	AAI-based (medium-confidence)	0.0	1.0	
k141_335069	13090	No	NA	24	5	1	Low-quality	Genome-fragment	40.45	AAI-based (high-confidence)	0.0	1.0	
k141_335065	19116	No	NA	36	12	0	Low-quality	Genome-fragment	49.81	AAI-based (high-confidence)	0.0	1.0	
k141_232225	5512	No	NA	7	0	1	Low-quality	Genome-fragment	13.1	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_335068	14947	No	NA	17	10	0	Low-quality	Genome-fragment	46.04	AAI-based (high-confidence)	0.0	1.0	
k141_232226	28592	No	NA	32	14	0	Medium-quality	Genome-fragment	70.21	AAI-based (medium-confidence)	0.0	1.0	
k141_142014	30609	No	NA	51	15	0	Medium-quality	Genome-fragment	88.18	AAI-based (high-confidence)	0.0	1.0	
k141_398173	6598	No	NA	8	3	0	Low-quality	Genome-fragment	10.69	HMM-based (lower-bound)	0.0	1.0	
k141_330134	5182	Yes	3984	8	1	1	Low-quality	Genome-fragment	7.61	HMM-based (lower-bound)	23.12	1.0	
k141_157537	54228	Yes	21559	47	2	16	Low-quality	Genome-fragment	25.49	HMM-based (lower-bound)	60.24	1.0	low-confidence Provirus
k141_215817	5871	No	NA	11	2	0	Low-quality	Genome-fragment	14.2	AAI-based (high-confidence)	0.0	1.0	
k141_272182	6957	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_59197	6581	No	NA	9	0	1	Low-quality	Genome-fragment	4.45	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_38251	20293	No	NA	26	1	2	Low-quality	Genome-fragment	34.22	AAI-based (medium-confidence)	0.0	1.0	
