name	reference	contig_count	length	completion	contamination
k141_382722	contig_78936||full: 73928bp	1	67251	90.9831187100963	0.0
k141_667619	contig_78877||full: 37656bp	1	33650	89.35362226471213	0.0
k141_1168077	contig_78978||full: 49209bp	1	43619	88.6341929321872	0.0
k141_1168043	contig_78732||full: 162707bp	1	139737	85.75537622843517	0.0
k141_654465	contig_78406||full: 50515bp	1	42814	84.73720677026625	0.0
k141_1168051	contig_78983||full: 61298bp	1	51574	84.12509380403928	0.0
k141_1168085	contig_78859||full: 39334bp	1	32214	81.86301927085982	0.0
k141_1148157	contig_70117||0_partial: 21224bp	1	17300	80.85657745947984	0.0
k141_1021329	contig_75329||full: 144943bp	1	115856	79.9093436730301	0.0
k141_288522	contig_22609||full: 18333bp	1	14636	79.81781486936126	0.0
k141_282680	contig_74850||full: 61352bp	1	47863	78.00886686660581	0.0
k141_82108	contig_39212||full: 31750bp	1	25229	77.77952755905511	0.0
k141_147670	contig_69582||full: 43907bp	1	33542	76.38417564397477	0.0
k141_84123	contig_63397||full: 60793bp	1	46359	76.14856973664732	0.0
k141_215432	contig_73952||full: 52012bp	1	39460	75.9170960547566	0.0
k141_335306	contig_47843||full: 39022bp	1	29731	75.70088667930911	0.0
k141_514588	contig_69669||full: 32693bp	1	25635	74.03725568164438	0.0
k141_102092	contig_78668||full: 98404bp	1	70869	72.01333279134994	0.0
k141_1168029	contig_61938||full: 159417bp	1	116095	71.99044016635617	0.0
k141_699344	contig_26315||full: 41484bp	1	29968	70.84900202487707	0.0
k141_58738	contig_78104||full: 73072bp	1	50942	69.71069629954017	0.0
k141_889386	contig_64137||full: 46823bp	1	32549	69.66448113106806	0.0
k141_1142690	contig_68020||full: 34462bp	1	23814	69.22987638558412	0.0
k141_844962	contig_8952||0_partial: 60344bp	1	47790	69.10214768659685	0.0
k141_1100079	contig_73607||full: 30625bp	1	21112	69.08734693877551	0.0
k141_346107	contig_72325||full: 41532bp	1	29515	68.9420206106135	0.0
k141_186892	contig_877||0_partial: 117629bp	1	92966	67.34648768585978	0.0
k141_481608	contig_78621||full: 34327bp	1	25203	67.03760887930784	0.0
k141_292024	contig_57485||full: 116430bp	1	78111	66.91230782444387	0.0
k141_1168083	contig_74742||full: 54878bp	1	36481	66.47108130762783	0.0
k141_1114522	contig_78959||full: 32867bp	1	21693	66.29445948824049	0.0
k141_95558	contig_78965||full: 31459bp	1	20775	66.02244190851584	0.0
k141_879241	contig_3049||0_partial: 21119bp	1	14594	65.38661868459681	0.0
k141_848051	contig_65326||full: 25551bp	1	16600	64.80372588157019	0.0
k141_376364	contig_8733||full: 37015bp	1	26463	64.7413210860462	0.0
k141_605682	contig_3554||0_partial: 82739bp	1	52738	64.00488282430292	0.0
k141_61612	contig_74091||full: 160867bp	1	102675	63.82539613469512	0.0
k141_846797	contig_69387||full: 15523bp	1	10032	63.35759840237068	0.0
k141_53601	contig_62690||full: 34764bp	1	22707	62.80635139799793	0.0
k141_466193	contig_41036||full: 117941bp	1	75209	61.13056528264132	0.0
k141_744940	contig_31215||full: 16465bp	1	10062	60.95353780747039	0.0
k141_1168099	contig_78143||full: 37835bp	1	23118	60.66076384300251	0.0
k141_396772	contig_60721||full: 185336bp	1	113291	60.65794017352268	0.0
k141_1168089	contig_43377||full: 38301bp	1	23026	59.9070520351949	0.0
k141_625388	contig_9848||full: 30250bp	1	17977	59.83801652892562	0.0
k141_429697	contig_26158||full: 14406bp	1	8586	59.58628349298903	0.0
k141_734594	contig_39572||full: 43305bp	1	25760	59.47812030943309	0.0
k141_46671	contig_78916||full: 106336bp	1	63248	59.35337044839001	0.0
k141_248272	contig_77201||full: 84891bp	1	50137	59.12876512233335	0.0
k141_652593	contig_78524||full: 43206bp	1	25601	57.83687450817016	0.0
k141_122115	contig_13268||full: 35831bp	1	20016	56.60182523513159	0.0
k141_237403	contig_78980||full: 58876bp	1	33289	56.52727766831986	0.0
k141_84423	contig_17484||full: 19905bp	1	11379	56.0060286360211	0.0
k141_17311	contig_78249||full: 51208bp	1	28629	55.89946883299484	0.0
k141_762056	contig_57905||full: 93589bp	1	52206	55.79501864535362	0.0
k141_250633	contig_78330||full: 55339bp	1	30592	55.19073347910154	0.0
k141_996530	contig_78615||full: 37211bp	1	20571	55.14229663271613	0.0
k141_141995	contig_23097||full: 36640bp	1	20115	55.08733624454148	0.0
k141_558245	contig_77100||full: 33450bp	1	21986	54.747384155455904	0.0
k141_855222	contig_78339||full: 56728bp	1	30748	54.17783105344803	0.0
k141_616112	contig_68550||full: 31983bp	1	17544	53.9286495950974	0.0
k141_813400	contig_78946||full: 44218bp	1	23740	53.71115835180243	0.0
k141_851168	contig_41062||full: 33196bp	1	17651	53.60284371611038	0.0
k141_762493	contig_78078||full: 136920bp	1	74262	53.374233128834355	0.0
k141_152197	contig_73305||full: 35708bp	1	19196	53.29057914192898	0.0
k141_1168033	contig_73170||full: 40685bp	1	22015	53.27762074474622	0.0
k141_69837	contig_17190||full: 201664bp	1	106934	53.02384163757537	0.0
k141_659259	contig_74724||full: 104106bp	1	54856	52.78850402474401	0.0
k141_115885	contig_1508||1_partial: 48600bp	1	25850	52.609053497942384	0.0
k141_174140	contig_74452||full: 132041bp	1	68906	51.699850803916966	0.0
k141_1082411	contig_33012||full: 38783bp	1	20323	51.463269989428355	0.0
k141_199099	contig_72130||full: 51324bp	1	26500	51.38531681084873	0.0
k141_941375	contig_71847||full: 17407bp	1	8930	51.278221405181824	0.0
k141_1168094	contig_78490||full: 43873bp	1	22436	51.13623413033073	0.0
k141_730422	contig_55966||full: 23349bp	1	12247	51.09426527902694	0.0
k141_57273	contig_78519||full: 57028bp	1	29030	50.89955811180473	0.0
k141_995999	contig_73163||full: 12504bp	1	6610	50.847728726807425	0.0
k141_1008902	contig_67608||full: 34572bp	1	17612	50.83015156774268	0.0
k141_436169	contig_78548||full: 41790bp	1	21048	50.35415171093563	0.0
k141_686849	contig_71078||full: 13952bp	1	7004	50.18635321100918	0.0
k141_1168199	contig_79029||full: 17950bp	1	9225	49.97214484679666	0.0
k141_436168	contig_78548||full: 41790bp	1	20946	49.80378080880593	0.0
k141_472409	contig_45623||full: 36905bp	1	19562	49.57051889987807	0.0
k141_243246	contig_76367||full: 63713bp	1	31541	49.49225432800213	0.0
k141_385310	contig_74154||full: 14428bp	1	7123	49.3346271139451	0.0
k141_736175	contig_10172||full: 10378bp	1	5064	48.76662169974947	0.0
k141_243247	contig_76367||full: 63713bp	1	30961	48.357478065700874	0.0
k141_114263	contig_48635||full: 39844bp	1	19435	48.356088746109826	0.0
k141_348542	contig_1050||0_partial: 27985bp	1	14294	47.81490083973557	0.0
k141_995998	contig_73163||full: 12504bp	1	6109	47.760716570697376	0.0
k141_645241	contig_34782||full: 87230bp	1	41584	47.668233405938324	0.0
k141_1168198	contig_79029||full: 17950bp	1	9754	47.598885793871865	0.0
k141_1082410	contig_33012||full: 38783bp	1	18574	47.546605471469455	0.0
k141_1021207	contig_77602||full: 57775bp	1	26894	46.85763738641281	0.0
k141_11101	contig_15471||full: 44871bp	1	20650	46.482137683581826	0.0
k141_114264	contig_48635||full: 39844bp	1	18798	46.197670916574644	0.0
k141_813399	contig_78946||full: 44218bp	1	20402	46.089827671988786	0.0
k141_1168032	contig_73170||full: 40685bp	1	18700	46.06120191716849	0.0
k141_915922	contig_78694||full: 40034bp	1	18412	45.74611580156866	0.0
k141_413520	contig_861||1_partial: 81428bp	1	37163	45.34803753008793	0.0
k141_876171	contig_78878||full: 40158bp	1	18185	45.273669007420686	0.0
k141_994545	contig_74062||full: 40255bp	1	18195	45.21177493479071	0.0
k141_448922	contig_44772||full: 37548bp	1	16955	45.14488121870672	0.0
k141_88235	contig_77794||full: 52016bp	1	23423	45.02460781298062	0.0
k141_1168093	contig_78490||full: 43873bp	1	20061	44.9570350785221	0.0
k141_1168047	contig_8123||0_partial: 41667bp	1	18544	44.493244054047565	0.0
k141_915923	contig_78694||full: 40034bp	1	17709	44.35979417495129	0.0
k141_273255	contig_78240||full: 46116bp	1	19980	43.73102610807529	0.0
k141_284353	contig_3586||0_partial: 22199bp	1	9831	43.70016667417451	0.0
k141_168764	contig_8571||0_partial: 52092bp	1	22739	43.649696690470705	0.0
k141_327558	contig_15425||full: 90502bp	1	39578	43.629975028176176	0.0
k141_781798	contig_29066||full: 36430bp	1	15892	43.62064232775185	0.0
k141_159412	contig_52675||full: 166934bp	1	72103	43.18413265122743	0.0
k141_122116	contig_13268||full: 35831bp	1	15753	43.032569562669195	0.0
k141_288351	contig_78432||full: 32356bp	1	13912	42.971937198664854	0.0
k141_448923	contig_44772||full: 37548bp	1	16150	42.88643869180782	0.0
k141_555376	contig_43890||full: 46727bp	1	19946	42.722622894686154	0.0
k141_1138764	contig_28769||full: 35853bp	1	15288	42.47064401863163	0.0
k141_867969	contig_77854||full: 33263bp	1	13916	41.82124282235517	0.0
k141_382622	contig_66387||full: 33468bp	1	13962	41.76228038723557	0.0
k141_865156	contig_2013||2_partial: 36577bp	1	15457	41.52336167536977	0.0
