mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_191994	7427	1956	263.3634037969571	75.54647439593988	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	144	0.0036855899755863894	0.22084320226434226	0.23629008271882412	0.015597734501502952	0.9346274702825212
k141_191994	7427	1956	263.3634037969571	26.75604301522871	bin_7	3776319	344736	91.2888979982888	61131	0.008588260773297766	51	0.001818394371758538	0.21173022335467595	0.2930919706767656	0.006204176687473781	0.7224019916539478
k141_583892	5391	538	99.79595622333518	91.19285654890975	bin_29	2503482	343036	137.0235535945535	55696	0.017827226640798277	159	0.011781031557321532	0.6608448860104913	0.6655268686049792	0.01770181207261538	0.9929649983864635
k141_764663	9079	1822	200.6828945919154	166.7327808451628	bin_37	2365536	2542906	1074.9808922798047	310284	0.11111383572278644	221	0.010329867200256054	0.09296652512318661	0.15510301814905586	0.06660003991881659	0.599385661430809
k141_2222	5155	260	50.4364694471387	21.61562976305944	bin_167	211199	11713	55.459542895562954	518	0.023770782149224588	18	0.016946650118953244	0.7129193314956214	0.38975492105595416	0.04348027235432992	1.8291477361315291
k141_3609	7000	528	75.42857142857143	27.789473684210524	bin_236	102500	11271	109.9609756097561	219	0.04484698201749183	21	0.031413612565445025	0.7004621303880083	0.2527212361486628	0.12430143601769193	2.771678949749845
k141_5732	5940	2710	456.22895622895624	444.06285072951744	bin_38	2326984	898100	385.9502256998759	169611	0.06285855468396478	949	0.0688329517942399	1.0950450919578523	1.1505702579244799	0.05982507484454539	0.9517411773994664
k141_24824	5289	657	124.22007941009643	118.81920639226615	bin_14	3224948	742863	230.34883043075422	101285	0.019520005215134844	176	0.010335446031982207	0.5294796757517573	0.5158229202643367	0.020036810358651264	1.0264756662624104
k141_27849	5715	1590	278.21522309711287	278.21522309711287	bin_42	2241363	632967	282.40271656130665	131985	0.05277231979753398	729	0.05705686007730655	1.081189159320845	0.9851719079930142	0.05791563849353197	1.097462433255366
k141_27850	10203	2570	251.88669999019896	251.88669999019896	bin_42	2241363	632967	282.40271656130665	131985	0.05277231979753398	1218	0.053504299971905235	1.0138705324529897	0.8919414907098354	0.05998633377770644	1.1367007174945067
k141_30407	6145	1122	182.58746948738812	27.600431434140063	bin_22	2855010	551889	193.3054525203064	4450	0.001093535291850599	13	0.0007409925325366044	0.6776119052203761	0.14278144291476044	0.0051896977464989755	4.7457981330592505
k141_31845	6077	289	47.55636004607537	39.16406121441501	bin_165	220670	12743	57.74686182988172	306	0.012941724565460819	14	0.010735524023291974	0.8295280871564208	0.6782024160860833	0.01582938038653246	1.2231275906441623
k141_32937	6809	1734	254.662946100749	134.36989618381227	bin_16	3187207	764328	239.81122029413214	149361	0.02954041225454865	105	0.004838332318044701	0.16378689221913925	0.5603153014233676	0.008635017294287515	0.29231201040391336
k141_33247	8055	1646	204.34512725015517	35.55455510762773	bin_138	330930	78160	236.18287855437706	2085	0.038969563260084106	95	0.036527810520634245	0.9373420553072785	0.1505382410666229	0.2426480491722255	6.22660427454074
k141_33247	8055	1646	204.34512725015517	92.81610175464924	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	248	0.004768026600445114	0.1805277584090498	0.18635323034720133	0.025585961625465968	0.9687396245973419
