contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
vMAG_20|N=2|L=12460	12660	No	NA	19	7	0	High-quality	High-quality	94.24	AAI-based (high-confidence)	0.0	1.0	
vMAG_180|N=3|L=30063	30463	No	NA	47	23	0	Medium-quality	Genome-fragment	84.01	AAI-based (high-confidence)	0.0	1.0	
vMAG_73|N=3|L=16700	17100	No	NA	23	4	1	Low-quality	Genome-fragment	48.54	AAI-based (high-confidence)	0.0	1.0	
vMAG_14|N=2|L=32108	32308	No	NA	25	4	12	Medium-quality	Genome-fragment	68.42	HMM-based (lower-bound)	0.0	1.0	
vMAG_65|N=6|L=111866	112866	No	NA	161	56	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
vMAG_164|N=4|L=71879	72479	Yes	13633	71	8	17	Low-quality	Genome-fragment	26.2	HMM-based (lower-bound)	81.19	1.0	>1 viral region detected
vMAG_119|N=2|L=13538	13738	No	NA	15	0	3	Low-quality	Genome-fragment	10.53	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
vMAG_37|N=2|L=25366	25566	No	NA	36	2	4	Low-quality	Genome-fragment	42.58	AAI-based (medium-confidence)	0.0	1.0	
vMAG_32|N=3|L=41962	42362	Yes	8140	61	5	9	Low-quality	Genome-fragment	9.79	HMM-based (lower-bound)	80.78	1.0	
vMAG_29|N=4|L=28433	29033	No	NA	41	8	0	Low-quality	Genome-fragment	16.58	AAI-based (high-confidence)	0.0	1.0	
vMAG_173|N=4|L=65578	66178	No	NA	100	37	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
vMAG_115|N=2|L=16601	16801	No	NA	27	11	2	Low-quality	Genome-fragment	47.7	AAI-based (high-confidence)	0.0	1.0	
vMAG_96|N=5|L=110671	111471	Yes	55162	138	30	31	Complete	High-quality	100.0	Provirus (high-confidence)	50.51	1.0	contig >1.5x longer than expected genome length
vMAG_196|N=2|L=25856	26056	Yes	23584	37	12	3	Medium-quality	Genome-fragment	64.37	AAI-based (high-confidence)	9.49	1.0	
vMAG_93|N=2|L=24843	25043	No	NA	33	17	0	Medium-quality	Genome-fragment	58.51	AAI-based (high-confidence)	0.0	1.0	
vMAG_188|N=2|L=17951	18151	No	NA	25	5	0	Low-quality	Genome-fragment	31.77	AAI-based (high-confidence)	0.0	1.0	
vMAG_176|N=9|L=103155	104755	No	NA	147	28	16	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
vMAG_147|N=2|L=20764	20964	No	NA	29	18	0	Low-quality	Genome-fragment	34.18	AAI-based (high-confidence)	0.0	1.0	
vMAG_60|N=8|L=106630	108030	Yes	93983	127	22	23	High-quality	High-quality	100.0	AAI-based (high-confidence)	13.0	1.0	contig >1.5x longer than expected genome length
vMAG_87|N=2|L=12398	12598	No	NA	10	0	7	Low-quality	Genome-fragment	9.35	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
vMAG_198|N=2|L=22051	22251	Yes	16580	31	4	2	Low-quality	Genome-fragment	33.88	AAI-based (high-confidence)	25.49	1.0	
vMAG_99|N=2|L=25234	25434	No	NA	47	10	2	Low-quality	Genome-fragment	43.11	AAI-based (medium-confidence)	0.0	1.0	
vMAG_76|N=2|L=42913	43113	No	NA	50	22	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
vMAG_21|N=4|L=25730	26330	No	NA	29	15	1	Medium-quality	Genome-fragment	53.52	AAI-based (high-confidence)	0.0	1.0	
vMAG_191|N=3|L=121185	121585	No	NA	115	4	69	High-quality	High-quality	99.43	HMM-based (lower-bound)	0.0	1.0	
vMAG_53|N=3|L=19829	20229	No	NA	16	1	5	Low-quality	Genome-fragment	38.12	HMM-based (lower-bound)	0.0	1.0	
vMAG_148|N=2|L=26453	26653	No	NA	24	1	1	Low-quality	Genome-fragment	35.27	HMM-based (lower-bound)	0.0	1.0	
vMAG_2|N=11|L=84895	86895	No	NA	126	18	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
vMAG_158|N=3|L=22082	22482	No	NA	28	3	0	Low-quality	Genome-fragment	48.32	AAI-based (high-confidence)	0.0	1.0	
vMAG_104|N=4|L=30391	30991	No	NA	33	4	0	Medium-quality	Genome-fragment	70.99	AAI-based (high-confidence)	0.0	1.0	
vMAG_172|N=2|L=20925	21125	No	NA	35	5	1	Low-quality	Genome-fragment	38.62	AAI-based (high-confidence)	0.0	1.0	
vMAG_48|N=4|L=54672	55272	Yes	47409	73	18	9	High-quality	High-quality	100.0	AAI-based (high-confidence)	14.23	1.0	contig >1.5x longer than expected genome length
vMAG_39|N=3|L=25499	25899	No	NA	38	2	1	Medium-quality	Genome-fragment	57.59	AAI-based (medium-confidence)	0.0	1.0	
