contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_859615	5638	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_687766	10197	No	NA	9	1	0	Low-quality	Genome-fragment	5.7	AAI-based (medium-confidence)	0.0	1.0	
k141_2725900	5615	No	NA	9	1	0	Low-quality	Genome-fragment	6.9	HMM-based (lower-bound)	0.0	1.0	
k141_392078	5315	No	NA	4	1	0	Low-quality	Genome-fragment	7.1	AAI-based (medium-confidence)	0.0	1.0	
k141_2315491	12362	No	NA	19	7	0	Low-quality	Genome-fragment	8.91	AAI-based (medium-confidence)	0.0	1.0	
k141_2315492	13329	No	NA	22	6	0	Low-quality	Genome-fragment	22.96	AAI-based (medium-confidence)	0.0	1.0	
k141_251946	8847	No	NA	16	3	0	Low-quality	Genome-fragment	17.47	HMM-based (lower-bound)	0.0	1.0	
k141_1893174	6981	No	NA	9	2	0	Low-quality	Genome-fragment	10.59	AAI-based (high-confidence)	0.0	1.0	
k141_1653504	6964	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_1893173	8445	No	NA	14	3	0	Low-quality	Genome-fragment	15.12	AAI-based (medium-confidence)	0.0	1.0	
k141_450686	5694	No	NA	15	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_87502	7268	No	NA	13	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_1203672	12828	No	NA	4	1	0	Low-quality	Genome-fragment	17.95	HMM-based (lower-bound)	0.0	1.0	
k141_1015539	16111	No	NA	15	4	4	Low-quality	Genome-fragment	26.81	AAI-based (medium-confidence)	0.0	1.0	
k141_1729177	5043	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_1015540	7916	No	NA	4	1	0	Low-quality	Genome-fragment	13.41	AAI-based (medium-confidence)	0.0	1.0	
k141_1075015	21387	No	NA	36	11	0	Medium-quality	Genome-fragment	56.12	AAI-based (medium-confidence)	0.0	1.0	
k141_2258921	6912	No	NA	9	5	0	Low-quality	Genome-fragment	14.38	AAI-based (medium-confidence)	0.0	1.0	
