	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin_1	g__Prevotella (UID2724)	55	567	296	63	320	139	37	7	1	87.77	46.16	75.83
bin_2	g__Prevotella (UID2724)	55	567	296	20	480	58	8	0	1	97.68	15.42	52.17
bin_3	o__Bacteroidales (UID2716)	92	487	270	22	443	19	3	0	0	94.61	6.04	57.14
bin_4	g__Prevotella (UID2724)	55	567	296	17	504	40	6	0	0	96.08	9.6	41.38
bin_5	c__Gammaproteobacteria (UID4201)	1164	275	174	19	206	46	2	2	0	91.28	21.94	64.06
bin_6	o__Bacteroidales (UID2716)	92	487	270	20	434	32	1	0	0	94.96	7.35	65.71
bin_7	p__Bacteroidetes (UID2605)	350	316	210	10	285	16	5	0	0	95.48	9.87	45.16
bin_8	g__Prevotella (UID2724)	55	567	296	37	497	32	1	0	0	92.95	6.95	54.29
bin_9	f__Lachnospiraceae (UID1286)	57	420	207	5	391	23	1	0	0	98.63	5.46	11.54
bin_10	g__Prevotella (UID2724)	55	567	296	14	507	38	7	1	0	96.76	12.07	52.31
bin_11	f__Lachnospiraceae (UID1286)	57	420	207	24	367	25	4	0	0	92.31	7.81	54.05
bin_12	k__Bacteria (UID203)	5449	103	57	2	80	20	1	0	0	97.37	9.06	17.39
bin_13	o__Bacteroidales (UID2716)	92	487	270	10	457	18	1	0	1	98.21	4.47	69.7
bin_14	o__Clostridiales (UID1212)	172	263	149	4	248	11	0	0	0	97.65	4.09	18.18
bin_15	o__Bacteroidales (UID2657)	160	492	269	42	429	21	0	0	0	92.04	4.39	47.62
bin_16	g__Prevotella (UID2721)	65	530	280	20	482	27	1	0	0	97.04	5.76	46.67
bin_17	o__Clostridiales (UID1226)	155	278	158	3	258	17	0	0	0	98.52	1.98	0.0
bin_18	o__Clostridiales (UID1226)	155	277	157	4	267	5	1	0	0	97.93	3.61	25.0
bin_19	g__Prevotella (UID2724)	55	567	296	12	545	10	0	0	0	97.88	2.49	10.0
bin_20	g__Prevotella (UID2722)	64	532	281	11	505	16	0	0	0	98.02	3.33	12.5
bin_21	o__Clostridiales (UID1212)	172	263	149	2	257	4	0	0	0	99.55	1.63	0.0
bin_22	f__Lachnospiraceae (UID1255)	90	354	174	16	330	8	0	0	0	94.23	4.08	0.0
bin_23	o__Bacteroidales (UID2617)	213	406	265	16	384	6	0	0	0	95.09	1.66	16.67
bin_24	o__Bacteroidales (UID2716)	92	487	270	17	443	27	0	0	0	98.26	5.8	33.33
bin_25	o__Bacteroidales (UID2657)	160	492	269	18	465	9	0	0	0	94.81	2.12	33.33
