	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin_1	o__Bacteroidales (UID2654)	163	486	266	14	402	63	7	0	0	96.07	20.7	67.86
bin_2	o__Bacteroidales (UID2657)	160	492	269	67	402	22	1	0	0	86.56	3.28	60.0
bin_3	k__Bacteria (UID1453)	901	171	117	18	144	9	0	0	0	92.57	2.71	0.0
bin_4	k__Bacteria (UID203)	5449	104	58	81	22	1	0	0	0	29.78	0.86	0.0
bin_5	o__Actinomycetales (UID1663)	488	310	185	31	265	14	0	0	0	88.25	2.11	0.0
bin_6	k__Bacteria (UID2329)	174	149	89	1	144	4	0	0	0	98.88	3.18	0.0
bin_7	o__Bacteroidales (UID2621)	198	427	260	36	380	11	0	0	0	91.04	2.41	27.27
bin_8	g__Prevotella (UID2724)	55	567	296	19	523	25	0	0	0	95.49	4.41	36.0
bin_9	f__Comamonadaceae (UID4119)	39	693	323	61	588	44	0	0	0	90.96	6.49	38.64
bin_10	o__Bacteroidales (UID2654)	163	486	266	18	442	26	0	0	0	95.07	5.26	23.08
bin_11	c__Betaproteobacteria (UID3888)	323	387	234	39	303	43	2	0	0	88.9	13.46	69.39
bin_12	c__Gammaproteobacteria (UID4444)	263	507	232	20	470	17	0	0	0	94.65	3.83	41.18
bin_13	o__Burkholderiales (UID4000)	193	427	214	72	341	14	0	0	0	85.05	3.04	14.29
bin_14	o__Clostridiales (UID1226)	155	278	158	11	254	13	0	0	0	95.04	6.33	23.08
bin_15	k__Bacteria (UID203)	5449	104	58	57	44	3	0	0	0	68.97	4.31	66.67
bin_16	c__Betaproteobacteria (UID3888)	323	386	234	8	371	7	0	0	0	97.45	1.25	14.29
bin_17	o__Bacteroidales (UID2621)	198	427	260	95	303	27	2	0	0	77.62	7.83	3.03
bin_18	o__Bacteroidales (UID2657)	160	492	269	63	410	19	0	0	0	89.49	3.49	52.63
bin_19	k__Bacteria (UID203)	5449	104	58	3	82	18	1	0	0	94.83	11.21	42.86
bin_20	c__Gammaproteobacteria (UID4201)	1164	275	174	22	241	11	1	0	0	90.04	5.52	64.29
